,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,PTV
20,104/300 Swanston Street Melbourne VIC 3000,550.0,"[-37.8106088, 144.9645798]",2,1,0,Apartment / Unit / Flat,The Core Advisory Team VIC,3000,"[70.7428171, 74.73475915, 95.23372607]"
21,Unit 1713/200 Spencer St Melbourne VIC 3000,440.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Melbourne Residential Real Estate,3000,"[64.93078674, 66.8099241, 67.3655901]"
22,701/101 Therry St Melbourne VIC 3000,0.0,"[-37.8074149, 144.9591227]",1,1,0,Apartment / Unit / Flat,LIV,3000,"[87.29258374, 96.66553016, 185.80606188]"
23,816/101 Therry St Melbourne VIC 3000,0.0,"[-37.8074149, 144.9591227]",2,2,0,Apartment / Unit / Flat,LIV,3000,"[87.29258374, 96.66553016, 185.80606188]"
24,504/350 La Trobe Street Melbourne VIC 3000,395.0,"[-37.8106785, 144.9592774]",2,1,0,Apartment / Unit / Flat,Caine Real Estate,3000,"[34.97531792, 38.52499445, 65.59339678]"
25,5401/464 Collins Street Melbourne VIC 3000,2500.0,"[-37.8175602, 144.9585916]",3,3,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"[45.92559958, 58.72432434, 88.60971668]"
26,1206/118 Russell Street Melbourne VIC 3000,550.0,"[-37.8135864, 144.9687232]",2,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"[100.53943279, 126.68213037, 169.85560278]"
27,1411/120 A Beckett St Melbourne VIC 3000,680.0,"[-37.8093086, 144.9597389]",2,2,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[122.62806957, 155.15664002, 163.73293574]"
28,5003/464-466 Collins Street Melbourne VIC 3000,550.0,"[-37.81755500000001, 144.958633]",1,1,1,Apartment / Unit / Flat,Kay & Burton Hawthorn,3000,"[42.27855017, 57.18674161, 84.95827972]"
29,1011/225 Elizabeth Street Melbourne VIC 3000,430.0,"[-37.8132308, 144.9623173]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"[70.0629339, 73.60104927, 88.96887846]"
30,405/325 Collins Street Melbourne VIC 3000,420.0,"[-37.8166442, 144.9635498]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"[32.08694514, 38.33042372, 114.31306852]"
31,55/1 Albert Road Melbourne VIC 3000,950.0,"[-37.833957, 144.972793]",2,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"[255.87520186, 257.71389596, 261.94880214]"
32,228 La Trobe St Melbourne VIC 3000,70.0,"[-37.8097514, 144.9626141]",0,1,1,Carspace,AZeta Real Estate,3000,"[26.69569932, 26.69569936, 30.43160976]"
33,2104/38 Rose Lane Melbourne VIC 3000,550.0,"[-37.8148884, 144.9542283]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[72.74540071, 121.34140365, 169.58041835]"
34,3405/288 Spencer Street Melbourne VIC 3000,440.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"[48.06643745, 70.60349219, 79.34162645]"
35,1007/238 Flinders St Melbourne VIC 3000,320.0,"[-37.8175167, 144.9664983]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[30.26209862, 52.80235153, 76.85532002]"
36,1211/260 Spencer Street Melbourne VIC 3000,700.0,"[-37.814564, 144.9522856]",2,2,0,Apartment / Unit / Flat,GBE Property Investments,3000,"[36.12624276, 45.27273971, 82.35916851]"
37,625/118 Franklin Street Melbourne VIC 3000,530.0,"[-37.8082052, 144.9589035]",3,2,0,Apartment / Unit / Flat,Gotham Property,3000,"[168.52951633, 174.31239069, 182.43791756]"
38,1313/268 Flinders Street Melbourne VIC 3000,350.0,"[-37.8178134, 144.9655688]",2,1,0,Apartment / Unit / Flat,Hodges South Melbourne,3000,"[72.4711598, 85.36331318, 90.02944804]"
39,2807/81 Abeckett Street Melbourne VIC 3000,650.0,"[-37.8092252, 144.9613779]",2,1,0,Apartment / Unit / Flat,Coronis Homes,3000,"[115.59494006, 124.08342647, 127.6806321]"
40,3108/500 Elizabeth St Melbourne VIC 3000,410.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[73.93780047, 77.15036972, 88.86472132]"
41,23/2 Wellington Crescent East Melbourne VIC 3002,750.0,"[-37.81759600000001, 144.977542]",2,2,2,Apartment / Unit / Flat,Caine Real Estate,3002,"[164.59165456, 167.42096015, 239.05613104]"
42,Unit 13P/189 Powlett St East Melbourne VIC 3002,600.0,"[-37.8104068, 144.9859454]",2,2,1,Apartment / Unit / Flat,Top Lane Property Pty Ltd,3002,"[120.9116544, 130.75148964, 247.84807426]"
43,104/150 Clarendon Street East Melbourne VIC 3002,950.0,"[-37.8120899, 144.9835967]",1,1,1,Apartment / Unit / Flat,Dingle Partners,3002,"[319.53101102, 360.50103013, 366.38460164]"
44,Unit 1201/162 Albert St East Melbourne VIC 3002,520.0,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Top Lane Property Pty Ltd,3002,"[88.80292335, 98.31582969, 193.47429668]"
45,12 Vale Street East Melbourne VIC 3002,1150.0,"[-37.8190688, 144.9893458]",4,2,0,House,Biggin & Scott Richmond,3002,"[185.78141818, 187.89426246, 212.01068491]"
46,1306V/296 Victoria Parade East Melbourne VIC 3002,750.0,"[-37.8091912, 144.9815952]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3002,"[65.16644443, 115.87580507, 117.75808429]"
47,13/86 Hotham Street East Melbourne VIC 3002,450.0,"[-37.8141406, 144.9874786]",1,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3002,"[271.25452708, 277.64791779, 343.60963657]"
48,7/126 Wellington Parade East Melbourne VIC 3002,1800.0,"[-37.8162107, 144.9859245]",3,2,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[102.44574181, 104.06795828, 143.16680171]"
49,8/108 George Street East Melbourne VIC 3002,450.0,"[-37.8152553, 144.9867895]",1,1,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[145.60795538, 151.75093901, 246.9043595]"
50,1/60 Simpson Street East Melbourne VIC 3002,530.0,"[-37.8106589, 144.9890876]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3002,"[80.85288006, 159.79447254, 162.37441899]"
51,38/400 Victoria Parade East Melbourne VIC 3002,770.0,"[-37.8095627, 144.9848541]",3,2,2,Apartment / Unit / Flat,Caine Real Estate,3002,"[100.84212476, 105.17537667, 113.78075023]"
52,P08P/191 Powlett Street East Melbourne VIC 3002,625.0,"[-37.8100943, 144.9860492]",2,1,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[86.54965591, 96.22984368, 231.32845569]"
53,Unit 101/170 Albert St East Melbourne VIC 3002,440.0,"[-37.8096207, 144.985273]",1,1,1,Apartment / Unit / Flat,Top Lane Property Pty Ltd,3002,"[68.97418937, 75.3526251, 145.16690868]"
54,203/150 Clarendon Street East Melbourne VIC 3002,950.0,"[-37.8120899, 144.9835967]",1,1,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[319.53101102, 360.50103013, 366.38460164]"
55,2/8 Wellington Crescent East Melbourne VIC 3002,750.0,"[-37.8172238, 144.9776702]",2,2,2,Apartment / Unit / Flat,Harcourts Melbourne City,3002,"[195.02743141, 199.29649103, 200.22536941]"
56,15/1 Wellington Crescent East Melbourne VIC 3002,550.0,"[-37.8173777, 144.9781787]",2,1,1,Apartment / Unit / Flat,Dingle Partners,3002,"[205.52191615, 225.65633994, 228.34459911]"
57,27/155 Powlett Street East Melbourne VIC 3002,575.0,"[-37.8113488, 144.9855803]",2,1,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[227.88881237, 237.80160199, 315.47109182]"
58,204/280 Albert Street East Melbourne VIC 3002,0.0,"[-37.8097936, 144.9817503]",2,2,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002,"[106.46853212, 119.56286327, 139.4593601]"
59,1005/296 Victoria Parade East Melbourne VIC 3002,0.0,"[-37.8091912, 144.9815952]",1,1,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002,"[65.16644443, 115.87580507, 117.75808429]"
60,303V/162 Albert Street East Melbourne VIC 3002,485.0,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Belle Property South Melbourne,3002,"[88.80292335, 98.31582969, 193.47429668]"
61,108/201 Powlett Street East Melbourne VIC 3002,495.0,"[-37.8096583, 144.9856197]",2,1,1,Apartment / Unit / Flat,Bow Residential,3002,"[48.01616133, 56.79033513, 172.32037875]"
62,1/27 Powlett Street East Melbourne VIC 3002,695.0,"[-37.812459, 144.985593]",3,1,1,Apartment / Unit / Flat,RT Edgar Albert Park,3002,"[350.13197605, 360.03614808, 425.51403081]"
63,1/9 Garden Avenue East Melbourne VIC 3002,490.0,"[-37.8161239, 144.9885721]",2,1,1,Apartment / Unit / Flat,Dingle Partners,3002,"[146.11743028, 149.23496861, 156.62689611]"
64,3/126 Albert Street East Melbourne VIC 3002,450.0,"[-37.8105917, 144.9870423]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3002,"[170.70575222, 178.21901026, 212.24664481]"
65,506 Victoria Parade East Melbourne VIC 3002,790.0,"[-37.809935, 144.988228]",3,2,1,House,Dingle Partners,3002,"[95.62592223, 167.17989793, 205.02603831]"
66,21/8 Wellington Crescent East Melbourne VIC 3002,700.0,"[-37.8172238, 144.9776702]",3,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3002,"[195.02743141, 199.29649103, 200.22536941]"
67,125B George Street East Melbourne VIC 3002,660.0,"[-37.81553, 144.986258]",2,1,1,Townhouse,Caine Real Estate,3002,"[131.44949584, 136.48098637, 191.41743606]"
68,1302/1 Powlett Street East Melbourne VIC 3002,1800.0,"[-37.8161275, 144.984988]",3,2,2,Apartment / Unit / Flat,RT Edgar Toorak,3002,"[62.81087299, 96.58583942, 103.83812163]"
69,17/102 Jolimont Road East Melbourne VIC 3002,750.0,"[-37.8181952, 144.9789461]",2,2,1,Apartment / Unit / Flat,Caine Real Estate,3002,"[142.07254924, 151.85925248, 271.47430062]"
70,162 George Street East Melbourne VIC 3002,1300.0,"[-37.8150779, 144.9851819]",3,2,1,Townhouse,RT Edgar Toorak,3002,"[154.47615558, 186.58257747, 196.58231785]"
71,86 Hotham Street East Melbourne VIC 3002,475.0,"[-37.8141406, 144.9874786]",1,1,1,Apartment / Unit / Flat,Biggin & Scott Richmond,3002,"[271.25452708, 277.64791779, 343.60963657]"
72,102/279 Wellington Parade South East Melbourne VIC 3002,480.0,"[-37.8162335, 144.9760382]",1,1,1,Apartment / Unit / Flat,Marvelli Town & Associates,3002,"[98.62311183, 133.24968357, 177.80472776]"
73,7/35 Powlett Street East Melbourne VIC 3002,625.0,"[-37.8154065, 144.9850928]",2,1,1,Apartment / Unit / Flat,Hodges Prahran South Yarra,3002,"[119.51778825, 152.79711721, 163.46014937]"
74,16/22 Agnes Street East Melbourne VIC 3002,530.0,"[-37.8177361, 144.9800992]",2,1,1,Apartment / Unit / Flat,Hodges Prahran South Yarra,3002,"[219.22838915, 222.05353769, 228.75197251]"
75,27/201 Wellington Parade South East Melbourne VIC 3002,440.0,"[-37.8167522, 144.9785462]",1,1,1,Apartment / Unit / Flat,Longview Real Estate,3002,"[129.28902017, 156.18015506, 186.34572349]"
76,304/280 Albert Street East Melbourne VIC 3002,950.0,"[-37.8097936, 144.9817503]",2,2,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002,"[106.46853212, 119.56286327, 139.4593601]"
77,East Melbourne VIC 3002,1500.0,"[-37.8161444, 144.9804594]",1,1,1,Apartment / Unit / Flat,Cubbi,3002,"[73.22478859, 107.81253829, 297.28737014]"
78,105M/201 Powlett Street East Melbourne VIC 3002,390.0,"[-37.8096583, 144.9856197]",1,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3002,"[48.01616133, 56.79033513, 172.32037875]"
79,710 / 10 St Andrews East Melbourne VIC 3002,590.0,"[-37.811829, 144.9767106]",0,1,1,Apartment / Unit / Flat,Cubbi,3002,"[206.20109106, 214.17420022, 256.88407816]"
80,208V/162 Albert Street East Melbourne VIC 3002,510.0,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Xynergy Realty Oakleigh,3002,"[88.80292335, 98.31582969, 193.47429668]"
81,1102/65 Dudley Street West Melbourne VIC 3003,460.0,"[-37.810221, 144.9506929]",1,1,0,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
82,201/65 Dudley Street West Melbourne VIC 3003,420.0,"[-37.810221, 144.9506929]",1,1,0,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
83,914/65 Dudley Street West Melbourne VIC 3003,450.0,"[-37.810221, 144.9506929]",1,1,1,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
84,260 Adderley Street West Melbourne VIC 3003,950.0,"[-37.8076896, 144.9440153]",3,3,0,Townhouse,Joseph Louis Realty,3003,"[146.77315694, 154.69784452, 157.57357148]"
85,1102/65 Dudley Street West Melbourne VIC 3003,460.0,"[-37.810221, 144.9506929]",1,1,0,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
86,603 Spencer Street West Melbourne VIC 3003,525.0,"[-37.806974, 144.946149]",2,1,1,House,Biggin & Scott Richmond,3003,"[51.04231706, 111.58849575, 174.60543878]"
87,503/9 Dryburgh Street West Melbourne VIC 3003,500.0,"[-37.806619, 144.9424148]",2,2,1,Apartment / Unit / Flat,Motion Property,3003,"[27.24098248, 29.66422275, 49.35563778]"
88,1014/65 Dudley Street West Melbourne VIC 3003,460.0,"[-37.810221, 144.9506929]",1,1,1,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
89,322/23 Batman Street West Melbourne VIC 3003,400.0,"[-37.8108743, 144.9523646]",1,1,0,Apartment / Unit / Flat,Samma Real Estate,3003,"[167.22381365, 184.4638379, 210.42300172]"
90,"Level 2, 208/16 Anderson Street West Melbourne VIC 3003",390.0,"[-37.8056962, 144.9421047]",1,1,0,Apartment / Unit / Flat,Alexkarbon Real Estate Pty Ltd,3003,"[54.04017997, 125.85450322, 131.02195777]"
91,29 Ireland Street West Melbourne VIC 3003,1200.0,"[-37.8077127, 144.9450198]",3,2,1,House,Alexkarbon Real Estate Pty Ltd,3003,"[176.79803701, 198.86702414, 202.77830335]"
92,306/493 Victoria Street West Melbourne VIC 3003,390.0,"[-37.8047323, 144.9435012]",2,1,1,Apartment / Unit / Flat,W. B. Simpson & Son,3003,"[168.40171483, 175.1109211, 232.99320811]"
93,5/231 Roden Street West Melbourne VIC 3003,0.0,"[-37.8100428, 144.9452456]",2,2,1,Townhouse,W. B. Simpson & Son,3003,"[343.0611495, 343.26401298, 360.86507859]"
94,4/30 Dudley Street West Melbourne VIC 3003,630.0,"[-37.8083643, 144.9544295]",3,2,1,House,Woodards Ascot Vale,3003,"[40.50498778, 147.96246831, 160.11036205]"
95,228 Adderley Street West Melbourne VIC 3003,900.0,"[-37.80806, 144.944867]",3,2,1,House,W. B. Simpson & Son,3003,"[210.49864584, 225.30608741, 227.10705891]"
96,2/35 Ireland Street West Melbourne VIC 3003,670.0,"[-37.80784, 144.944909]",3,1,1,Townhouse,W. B. Simpson & Son,3003,"[192.76545502, 211.50148043, 215.10621127]"
97,2214/65 Dudley St West Melbourne VIC 3003,520.0,"[-37.810221, 144.9506929]",1,1,1,Apartment / Unit / Flat,For Sale By Owner Australia,3003,"[65.26106865, 82.40142206, 182.04322917]"
98,312/118 Dudley Street West Melbourne VIC 3003,520.0,"[-37.809361, 144.9514149]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3003,"[139.41367231, 174.21047137, 245.79611207]"
99,464 William Street West Melbourne VIC 3003,1650.0,"[-37.806543, 144.95431]",3,2,2,House,Nelson Alexander Fitzroy,3003,"[100.84550271, 129.65713003, 141.96547711]"
100,1706/105 Batman Street West Melbourne VIC 3003,580.0,"[-37.8114205, 144.9497415]",2,2,1,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3003,"[96.07004242, 107.35305874, 120.75678525]"
101,909/53 Batman Street West Melbourne VIC 3003,380.0,"[-37.8110929, 144.9515043]",1,1,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[100.9100489, 111.96787058, 146.74103454]"
102,708/53 Batman Street West Melbourne VIC 3003,380.0,"[-37.8110929, 144.9515043]",1,1,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[100.9100489, 111.96787058, 146.74103454]"
103,1111/33 Batman Street West Melbourne VIC 3003,480.0,"[-37.8108734, 144.9518209]",2,1,0,Apartment / Unit / Flat,NPM,3003,"[136.15043003, 148.75516917, 163.83928515]"
104,109/23 Batman Street West Melbourne VIC 3003,680.0,"[-37.8108743, 144.9523646]",2,2,1,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3003,"[167.22381365, 184.4638379, 210.42300172]"
105,1502/65 Dudley Street West Melbourne VIC 3003,420.0,"[-37.810221, 144.9506929]",1,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3003,"[65.26106865, 82.40142206, 182.04322917]"
106,1314/58 Jeffcott Street West Melbourne VIC 3003,670.0,"[-37.811778, 144.9517322]",2,2,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[68.19444672, 93.11969841, 146.2265791]"
107,205/55 Jeffcott Street West Melbourne VIC 3003,400.0,"[-37.8120511, 144.9517315]",1,1,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[68.89353935, 94.94274955, 115.98937724]"
108,1108/58 Jeffcott Street West Melbourne VIC 3003,430.0,"[-37.811778, 144.9517322]",1,1,1,Apartment / Unit / Flat,MICM Real Estate,3003,"[68.19444672, 93.11969841, 146.2265791]"
109,G1/9 Dryburgh Street West Melbourne VIC 3003,600.0,"[-37.806619, 144.9424148]",2,2,1,Apartment / Unit / Flat,JMRE Real Estate,3003,"[27.24098248, 29.66422275, 49.35563778]"
110,304/53 Batman Street West Melbourne VIC 3003,460.0,"[-37.8110929, 144.9515043]",2,1,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[100.9100489, 111.96787058, 146.74103454]"
111,607/121 Rosslyn Street West Melbourne VIC 3003,410.0,"[-37.8088758, 144.9505261]",1,1,1,Apartment / Unit / Flat,Asset Advantage Management,3003,"[114.58000708, 157.44435549, 183.35172431]"
112,308/58 Jeffcott Street West Melbourne VIC 3003,480.0,"[-37.811778, 144.9517322]",1,1,1,Apartment / Unit / Flat,Nelson Alexander | Carlton,3003,"[68.19444672, 93.11969841, 146.2265791]"
113,501/53 Batman Street West Melbourne VIC 3003,500.0,"[-37.8110929, 144.9515043]",2,1,0,Apartment / Unit / Flat,MICM Real Estate,3003,"[100.9100489, 111.96787058, 146.74103454]"
114,405/118 Dudley Street West Melbourne VIC 3003,550.0,"[-37.809361, 144.9514149]",2,1,1,Apartment / Unit / Flat,MICM Real Estate,3003,"[139.41367231, 174.21047137, 245.79611207]"
115,707/130 Dudley Street West Melbourne VIC 3003,350.0,"[-37.809552, 144.950835]",1,1,1,Studio,Ray White Southbank & Port Phillip,3003,"[84.19640457, 125.14789832, 206.52461853]"
116,1005/58 Jeffcott Street West Melbourne VIC 3003,560.0,"[-37.811778, 144.9517322]",2,1,1,Apartment / Unit / Flat,MICM Real Estate,3003,"[68.19444672, 93.11969841, 146.2265791]"
117,1008/105 Batman St West Melbourne VIC 3003,600.0,"[-37.8114205, 144.9497415]",2,2,1,Apartment / Unit / Flat,JR PROPERTY GROUP PTY LTD,3003,"[96.07004242, 107.35305874, 120.75678525]"
118,103/107 Hawke Street West Melbourne VIC 3003,460.0,"[-37.8076347, 144.9467204]",2,1,1,Apartment / Unit / Flat,Landmark Real Estate,3003,"[56.1274688, 87.21469815, 176.88519827]"
119,504/89 Roden Street West Melbourne VIC 3003,550.0,"[-37.8073655, 144.9488379]",2,1,1,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3003,"[92.86863074, 136.33654286, 147.83454095]"
120,10/50 Rosslyn Street West Melbourne VIC 3003,420.0,"[-37.8074206, 144.9525729]",2,1,0,Apartment / Unit / Flat,Woodards,3003,"[211.8047521, 220.42571968, 224.18116566]"
121,213/65 Dudley Street West Melbourne VIC 3003,450.0,"[-37.810221, 144.9506929]",2,1,0,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3003,"[65.26106865, 82.40142206, 182.04322917]"
122,902/133 Russell St Melbourne VIC 3004,650.0,"[-37.8133332, 144.9681667]",1,1,0,Apartment / Unit / Flat,Abercromby's Real Estate,3004,"[82.4615844, 122.76175121, 171.02871359]"
123,309/77 Queens Road Melbourne VIC 3004,430.0,"[-37.85271110000001, 144.9797274]",1,1,1,Apartment / Unit / Flat,Motion Property,3004,"[159.07228091, 168.38139497, 344.94923173]"
124,405/15 Queens Road Melbourne VIC 3004,550.0,"[-37.8392276, 144.9748227]",2,2,1,Apartment / Unit / Flat,Buxton St Kilda,3004,"[144.18329666, 155.5623163, 158.58922417]"
125,18e/481 St Kilda Road Melbourne VIC 3004,2800.0,"[-37.8421147, 144.9787599]",3,3,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3004,"[139.69285485, 156.79230409, 167.81640244]"
126,314/499 St Kilda Road Melbourne VIC 3004,900.0,"[-37.8431328, 144.9793408]",2,2,1,Apartment / Unit / Flat,Holly and Williams,3004,"[118.7892342, 126.97176126, 146.81901237]"
127,303/250 St Kilda Road Melbourne VIC 3004,1395.0,"[-37.8259165, 144.9705248]",2,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3004,"[154.15037037, 157.70762709, 299.25988283]"
128,113/350 St Kilda Road Melbourne VIC 3004,1500.0,"[-37.831142, 144.9708545]",2,3,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3004,"[79.38865091, 94.9540061, 100.88956224]"
129,1201/55 Queens Road Melbourne VIC 3004,1100.0,"[-37.8478901, 144.9782817]",2,2,2,Apartment / Unit / Flat,Marshall White Stonnington,3004,"[128.69413317, 132.46017889, 269.00595462]"
130,517/74 Queens Road Melbourne VIC 3004,450.0,"[-37.8522192, 144.9795815]",2,1,1,Apartment / Unit / Flat,Motion Property,3004,"[183.17791547, 191.50565932, 294.0950924]"
131,60/485 St Kilda Road Melbourne VIC 3004,425.0,"[-37.8426262, 144.9783298]",1,1,1,Apartment / Unit / Flat,Woodards South Yarra,3004,"[102.5597687, 153.51073025, 172.35995867]"
132,805/81 Queens Road Melbourne VIC 3004,370.0,"[-37.853804, 144.9798785]",0,1,1,Studio, Gary Peer,3004,"[183.5251053, 191.97699397, 257.53623745]"
133,405/442 St Kilda Road Melbourne VIC 3004,380.0,"[-37.8382389, 144.9754034]",1,1,1,Apartment / Unit / Flat,Hodges South Melbourne,3004,"[87.80097393, 96.8001721, 130.77727736]"
134,104/12 Queens Road Melbourne VIC 3004,440.0,"[-37.8384194, 144.9747126]",1,1,1,Apartment / Unit / Flat,Motion Property,3004,"[145.71589566, 150.45445581, 175.31627544]"
135,1312/35 Albert Rd Melbourne VIC 3004,570.0,"[-37.834695, 144.9721117]",2,2,1,Apartment / Unit / Flat,Re-define Real Estate,3004,"[286.25414049, 292.04038017, 302.8903511]"
136,19/73 Queens Road Melbourne VIC 3004,580.0,"[-37.8519051, 144.9795738]",2,2,1,Apartment / Unit / Flat,Wilson Port Phillip,3004,"[198.59372977, 206.06558414, 260.57515673]"
