,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Closest_Park,Closest_Post_Office,Closest_Railway_Station,CBD_Distance
10,1112/333-351 Exhibition Street Melbourne VIC 3000,600.0,"[-37.80789559999999, 144.9682873]",2,2,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 367.6, 'duration': 53.7}","{'distance': 602.5, 'duration': 77.7}","{'distance': 923.2, 'duration': 126.5}","{'distance': 1277.4, 'duration': 160.8}"
11,3002/288 Spencer St Melbourne VIC 3000,510.0,"[-37.813775, 144.9520948]",2,1,1,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
12,4/180 Little Collins Street Melbourne VIC 3000,500.0,"[-37.8138601, 144.9679067]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 595.1, 'duration': 83.2}","{'distance': 595.0, 'duration': 86.0}","{'distance': 1098.6, 'duration': 163.9}","{'distance': 1076.2, 'duration': 131.1}"
13,1605/565 Flinders Street Melbourne VIC 3000,500.0,"[-37.8210586, 144.9559072]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 214.8, 'duration': 36.4}","{'distance': 748.0, 'duration': 105.9}","{'distance': 467.2, 'duration': 72.6}","{'distance': 1909.6, 'duration': 229.1}"
14,701/101 Therry St Melbourne VIC 3000,585.0,"[-37.8074149, 144.9591227]",1,1,0,Apartment / Unit / Flat,LIV,3000,"{'distance': 530.5, 'duration': 84.2}","{'distance': 435.0, 'duration': 57.2}","{'distance': 824.2, 'duration': 108.5}","{'distance': 856.7, 'duration': 95.5}"
15,816/101 Therry St Melbourne VIC 3000,820.0,"[-37.8074149, 144.9591227]",2,2,0,Apartment / Unit / Flat,LIV,3000,"{'distance': 530.5, 'duration': 84.2}","{'distance': 435.0, 'duration': 57.2}","{'distance': 824.2, 'duration': 108.5}","{'distance': 856.7, 'duration': 95.5}"
16,2108/288 Spencer Street Melbourne VIC 3000,350.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
17,1505/250 Elizabeth Street Melbourne VIC 3000,520.0,"[-37.812564, 144.9628184]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 575.9, 'duration': 73.8}","{'distance': 247.8, 'duration': 26.5}","{'distance': 822.9, 'duration': 118.4}","{'distance': 116.9, 'duration': 12.0}"
18,2205/22-24 Jane Bell Lane Melbourne VIC 3000,550.0,"[-37.8102205, 144.9662652]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 582.9, 'duration': 88.6}","{'distance': 407.4, 'duration': 57.7}","{'distance': 509.8, 'duration': 72.6}","{'distance': 806.0, 'duration': 102.1}"
19,9/15 Rankins Lane Melbourne VIC 3000,900.0,"[-37.81394179999999, 144.9623001]",2,2,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 753.9, 'duration': 133.0}","{'distance': 475.9, 'duration': 69.2}","{'distance': 1000.8, 'duration': 177.7}","{'distance': 566.5, 'duration': 100.2}"
20,3510/442 Elizabeth St Melbourne VIC 3000,650.0,"[-37.8082901, 144.9608496]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 398.4, 'duration': 68.0}","{'distance': 302.9, 'duration': 41.0}","{'distance': 638.0, 'duration': 87.5}","{'distance': 670.4, 'duration': 74.5}"
21,2004/288 Spencer Street Melbourne VIC 3000,360.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Hodges South Melbourne,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
22,2201/288 Spencer Street Melbourne VIC 3000,400.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
23,101/25-33 Wills Street Melbourne VIC 3000,400.0,"[-37.8107757, 144.9569269]",1,1,0,Apartment / Unit / Flat,Samma Real Estate,3000,"{'distance': 334.0, 'duration': 52.3}","{'distance': 780.1, 'duration': 117.5}","{'distance': 420.2, 'duration': 67.8}","{'distance': 897.3, 'duration': 121.8}"
24,2905B/11 Rose Lane Melbourne VIC 3000,575.0,"[-37.815446, 144.9541165]",2,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"{'distance': 1138.7, 'duration': 166.7}","{'distance': 495.1, 'duration': 69.5}","{'distance': 378.6, 'duration': 59.6}","{'distance': 1364.3, 'duration': 189.0}"
25,1901/368 St Kilda Road Melbourne VIC 3000,1800.0,"[-37.8318086, 144.9710272]",3,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"{'distance': 2159.1, 'duration': 208.2}","{'distance': 1956.7, 'duration': 210.1}","{'distance': 1745.3, 'duration': 165.9}","{'distance': 2766.8, 'duration': 281.1}"
26,1211/200 Spencer Street Melbourne VIC 3000,470.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Hodges South Melbourne,3000,"{'distance': 648.9, 'duration': 94.3}","{'distance': 353.1, 'duration': 38.8}","{'distance': 236.6, 'duration': 29.0}","{'distance': 1411.8, 'duration': 161.6}"
27,3/27 Flinders Lane Melbourne VIC 3000,415.0,"[-37.8147317, 144.9733655]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 704.9, 'duration': 114.4}","{'distance': 665.8, 'duration': 119.0}","{'distance': 924.4, 'duration': 142.0}","{'distance': 1549.8, 'duration': 196.3}"
28,102/9 Bligh Place Melbourne VIC 3000,600.0,"[-37.817317, 144.96371]",2,1,1,Apartment / Unit / Flat,Motion Property,3000,"{'distance': 457.5, 'duration': 80.4}","{'distance': 1529.9, 'duration': 256.3}","{'distance': 1598.1, 'duration': 240.6}","{'distance': 1168.6, 'duration': 149.2}"
29,1715/220 Spencer Street Melbourne VIC 3000,600.0,"[-37.8157157, 144.9529559]",2,2,1,Apartment / Unit / Flat,Ease Real Estate,3000,"{'distance': 1058.3, 'duration': 142.4}","{'distance': 414.7, 'duration': 45.2}","{'distance': 298.2, 'duration': 35.3}","{'distance': 1283.9, 'duration': 164.6}"
30,104/300 Swanston Street Melbourne VIC 3000,550.0,"[-37.8106088, 144.9645798]",2,1,0,Apartment / Unit / Flat,The Core Advisory Team VIC,3000,"{'distance': 14.7, 'duration': 3.5}","{'distance': 561.2, 'duration': 94.6}","{'distance': 663.6, 'duration': 109.5}","{'distance': 959.8, 'duration': 139.0}"
31,Unit 1713/200 Spencer St Melbourne VIC 3000,440.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Melbourne Residential Real Estate,3000,"{'distance': 648.9, 'duration': 94.3}","{'distance': 353.1, 'duration': 38.8}","{'distance': 236.6, 'duration': 29.0}","{'distance': 1411.8, 'duration': 161.6}"
32,1007/238 Flinders St Melbourne VIC 3000,320.0,"[-37.8175167, 144.9664983]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 1747.3, 'duration': 259.1}","{'distance': 1417.4, 'duration': 222.5}","{'distance': 33.2, 'duration': 4.0}","{'distance': 1054.8, 'duration': 119.2}"
33,1211/260 Spencer Street Melbourne VIC 3000,700.0,"[-37.814564, 144.9522856]",2,2,0,Apartment / Unit / Flat,GBE Property Investments,3000,"{'distance': 928.4, 'duration': 121.7}","{'distance': 645.0, 'duration': 83.1}","{'distance': 439.4, 'duration': 53.5}","{'distance': 1154.0, 'duration': 144.0}"
34,3108/500 Elizabeth St Melbourne VIC 3000,410.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 423.1, 'duration': 68.7}","{'distance': 327.5, 'duration': 41.7}","{'distance': 716.8, 'duration': 93.1}","{'distance': 749.2, 'duration': 80.0}"
35,217/339 Swanston St Melbourne VIC 3000,380.0,"[-37.8103818, 144.9638079]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 116.4, 'duration': 33.2}","{'distance': 261.5, 'duration': 50.0}","{'distance': 1002.6, 'duration': 138.7}","{'distance': 600.1, 'duration': 85.8}"
36,55/1 Albert Road Melbourne VIC 3000,950.0,"[-37.833957, 144.972793]",2,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"{'distance': 67.7, 'duration': 4.9}","{'distance': 1071.9, 'duration': 140.1}","{'distance': 2441.7, 'duration': 273.7}","{'distance': 3043.2, 'duration': 307.3}"
37,228 La Trobe St Melbourne VIC 3000,70.0,"[-37.8097514, 144.9626141]",0,1,1,Carspace,AZeta Real Estate,3000,"{'distance': 922.3, 'duration': 148.5}","{'distance': 826.8, 'duration': 121.4}","{'distance': 252.4, 'duration': 41.7}","{'distance': 841.4, 'duration': 103.6}"
38,711/500 Flinders Street Melbourne VIC 3000,250.0,"[-37.8200193, 144.9578273]",1,1,0,Apartment / Unit / Flat,Ray White Oakleigh,3000,"{'distance': 353.9, 'duration': 60.7}","{'distance': 514.2, 'duration': 94.0}","{'distance': 702.1, 'duration': 118.9}","{'distance': 1529.4, 'duration': 168.4}"
39,504/350 La Trobe Street Melbourne VIC 3000,395.0,"[-37.8106785, 144.9592774]",2,1,0,Apartment / Unit / Flat,Caine Real Estate,3000,"{'distance': 882.9, 'duration': 129.4}","{'distance': 707.8, 'duration': 104.4}","{'distance': 670.8, 'duration': 111.9}","{'distance': 704.3, 'duration': 85.0}"
40,5401/464 Collins Street Melbourne VIC 3000,2500.0,"[-37.8175602, 144.9585916]",3,3,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"{'distance': 481.0, 'duration': 59.0}","{'distance': 114.1, 'duration': 13.7}","{'distance': 681.0, 'duration': 92.3}","{'distance': 1145.6, 'duration': 122.4}"
41,1206/118 Russell Street Melbourne VIC 3000,550.0,"[-37.8135864, 144.9687232]",2,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"{'distance': 470.2, 'duration': 65.5}","{'distance': 470.1, 'duration': 68.3}","{'distance': 786.1, 'duration': 126.5}","{'distance': 951.3, 'duration': 113.5}"
42,1411/120 A Beckett St Melbourne VIC 3000,680.0,"[-37.8093086, 144.9597389]",2,2,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 564.3, 'duration': 86.2}","{'distance': 468.8, 'duration': 59.2}","{'distance': 592.8, 'duration': 87.4}","{'distance': 625.3, 'duration': 74.4}"
43,5003/464-466 Collins Street Melbourne VIC 3000,550.0,"[-37.81755500000001, 144.958633]",1,1,1,Apartment / Unit / Flat,Kay & Burton Hawthorn,3000,"{'distance': 477.4, 'duration': 58.5}","{'distance': 110.5, 'duration': 13.3}","{'distance': 677.4, 'duration': 91.8}","{'distance': 1142.0, 'duration': 122.0}"
44,925/555 Flinders Street Melbourne VIC 3000,500.0,"[-37.8209711, 144.9564827]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 199.9, 'duration': 39.7}","{'distance': 911.9, 'duration': 135.2}","{'distance': 631.0, 'duration': 101.8}","{'distance': 2073.5, 'duration': 258.4}"
45,908/500 Flinders Street Melbourne VIC 3000,200.0,"[-37.8200193, 144.9578273]",1,1,0,Apartment / Unit / Flat,Peter Blair Property Management,3000,"{'distance': 353.9, 'duration': 60.7}","{'distance': 514.2, 'duration': 94.0}","{'distance': 702.1, 'duration': 118.9}","{'distance': 1529.4, 'duration': 168.4}"
46,3604/568 Collins Street Melbourne VIC 3000,550.0,"[-37.8183759, 144.9554361]",2,2,1,Apartment / Unit / Flat,RT Edgar Boroondara,3000,"{'distance': 514.8, 'duration': 81.8}","{'distance': 577.1, 'duration': 74.0}","{'distance': 359.0, 'duration': 53.7}","{'distance': 1742.7, 'duration': 197.3}"
47,2105/31 Spring Street Melbourne VIC 3000,500.0,"[-37.8145047, 144.9740695]",1,1,1,Apartment / Unit / Flat,Belle Property South Melbourne,3000,"{'distance': 544.2, 'duration': 104.4}","{'distance': 419.2, 'duration': 81.4}","{'distance': 754.4, 'duration': 139.2}","{'distance': 1616.1, 'duration': 208.2}"
48,508/616 Little Collins Street Street Melbourne VIC 3000,500.0,"[-37.8176151, 144.9543219]",2,1,0,Apartment / Unit / Flat,Belle Property South Melbourne,3000,"{'distance': 515.9, 'duration': 85.6}","{'distance': 134.1, 'duration': 19.8}","{'distance': 103.5, 'duration': 20.3}","{'distance': 1437.7, 'duration': 172.8}"
49,3511/157 A'Beckett Street Melbourne VIC 3000,680.0,"[-37.8099156, 144.9591846]",2,2,0,Apartment / Unit / Flat,CAN Estate Agents Pty Ltd,3000,"{'distance': 633.5, 'duration': 96.2}","{'distance': 817.7, 'duration': 111.9}","{'distance': 661.9, 'duration': 97.4}","{'distance': 694.4, 'duration': 84.3}"
50,211B/399 Bourke Street Melbourne VIC 3000,350.0,"[-37.8147259, 144.9621291]",1,1,0,Apartment / Unit / Flat,Create Vic Real Estate,3000,"{'distance': 545.9, 'duration': 60.8}","{'distance': 313.5, 'duration': 32.2}","{'distance': 1228.3, 'duration': 159.1}","{'distance': 793.9, 'duration': 81.7}"
51,1609/398 Elizabeth Street Melbourne VIC 3000,600.0,"[-37.8093316, 144.9613227]",2,1,1,Apartment / Unit / Flat,Harcourts Box Hill TSL,3000,"{'distance': 552.3, 'duration': 89.9}","{'distance': 456.8, 'duration': 62.9}","{'distance': 554.1, 'duration': 87.3}","{'distance': 586.6, 'duration': 74.2}"
52,712/478 Saint Kilda Road Melbourne VIC 3000,400.0,"[-37.8425885, 144.9770385]",1,1,0,Apartment / Unit / Flat,DK Property Partners Melbourne,3000,"{'distance': 979.9, 'duration': 123.3}","{'distance': 584.6, 'duration': 68.7}","{'distance': 1993.3, 'duration': 216.8}","{'distance': 4222.0, 'duration': 454.2}"
53,208/268 Flinders St Melbourne VIC 3000,295.0,"[-37.8178134, 144.9655688]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"{'distance': 1504.1, 'duration': 247.5}","{'distance': 1326.0, 'duration': 213.2}","{'distance': 1394.2, 'duration': 197.5}","{'distance': 963.4, 'duration': 110.0}"
54,251/350 St Kilda Road Melbourne VIC 3000,2800.0,"[-37.831142, 144.9708545]",3,3,3,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"{'distance': 2124.5, 'duration': 209.9}","{'distance': 1922.0, 'duration': 211.8}","{'distance': 1710.7, 'duration': 167.6}","{'distance': 2732.2, 'duration': 282.8}"
55,2206/288 Spencer Street Melbourne VIC 3000,440.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
56,2707/288 Spencer Street Melbourne VIC 3000,440.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"{'distance': 753.7, 'duration': 124.2}","{'distance': 470.2, 'duration': 97.8}","{'distance': 575.8, 'duration': 116.6}","{'distance': 1197.3, 'duration': 168.8}"
57,394 Collins Street Melbourne VIC 3000,550.0,"[-37.816819, 144.9611835]",1,1,0,Apartment / Unit / Flat,Gotham Property,3000,"{'distance': 238.6, 'duration': 29.9}","{'distance': 384.6, 'duration': 54.7}","{'distance': 1332.7, 'duration': 184.7}","{'distance': 903.2, 'duration': 93.3}"
58,506/253 Franklin Street Melbourne VIC 3000,330.0,"[-37.8095025, 144.9566681]",1,1,0,Apartment / Unit / Flat,Pagan Real Estate,3000,"{'distance': 307.8, 'duration': 38.1}","{'distance': 754.0, 'duration': 103.3}","{'distance': 394.1, 'duration': 53.6}","{'distance': 1082.3, 'duration': 126.4}"
59,4703/464 Collins Street Melbourne VIC 3000,550.0,"[-37.8175602, 144.9585916]",1,1,0,Apartment / Unit / Flat,LJ Hooker City Residential,3000,"{'distance': 481.0, 'duration': 59.0}","{'distance': 114.1, 'duration': 13.7}","{'distance': 681.0, 'duration': 92.3}","{'distance': 1145.6, 'duration': 122.4}"
60,2501/27 Therry Street Melbourne VIC 3000,675.0,"[-37.8069882, 144.9610136]",2,2,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,"{'distance': 539.5, 'duration': 92.8}","{'distance': 329.1, 'duration': 55.2}","{'distance': 833.2, 'duration': 117.2}","{'distance': 865.7, 'duration': 104.1}"
61,1902/618 Lonsdale Street Melbourne VIC 3000,620.0,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 687.4, 'duration': 110.8}","{'distance': 517.0, 'duration': 75.6}","{'distance': 622.6, 'duration': 94.3}","{'distance': 1026.0, 'duration': 136.4}"
62,2314/23 Mackenzie Street Melbourne VIC 3000,650.0,"[-37.8075453, 144.9673268]",2,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,"{'distance': 205.4, 'duration': 28.4}","{'distance': 507.0, 'duration': 63.7}","{'distance': 623.4, 'duration': 88.8}","{'distance': 1115.2, 'duration': 135.5}"
63,2401/380 Little Lonsdale Street Melbourne VIC 3000,650.0,"[-37.8121026, 144.9581291]",2,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,"{'distance': 642.5, 'duration': 91.9}","{'distance': 624.9, 'duration': 93.7}","{'distance': 464.3, 'duration': 73.2}","{'distance': 621.5, 'duration': 74.4}"
64,1605/8 Sutherland Street Melbourne VIC 3000,550.0,"[-37.8113164, 144.9609854]",2,2,0,Apartment / Unit / Flat,BRADY residential,3000,"{'distance': 813.4, 'duration': 120.8}","{'distance': 244.3, 'duration': 37.4}","{'distance': 601.3, 'duration': 103.3}","{'distance': 385.0, 'duration': 51.9}"
65,106/455 Elizabeth Street Melbourne VIC 3000,370.0,"[-37.8084293, 144.9602064]",1,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,"{'distance': 385.2, 'duration': 69.0}","{'distance': 289.7, 'duration': 42.0}","{'distance': 678.9, 'duration': 93.3}","{'distance': 711.4, 'duration': 80.3}"
66,402/5 Sutherland Street Melbourne VIC 3000,400.0,"[-37.811416, 144.9608504]",1,1,0,Apartment / Unit / Flat,BRADY residential,3000,"{'distance': 807.0, 'duration': 119.2}","{'distance': 237.9, 'duration': 35.9}","{'distance': 594.9, 'duration': 101.7}","{'distance': 378.7, 'duration': 50.4}"
67,4509/135 A'beckett Street Melbourne VIC 3000,650.0,"[-37.8097879, 144.9596466]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,"{'distance': 590.5, 'duration': 90.0}","{'distance': 495.0, 'duration': 63.0}","{'distance': 619.0, 'duration': 91.2}","{'distance': 651.4, 'duration': 78.2}"
68,1610/27 Little Collins Street Melbourne VIC 3000,410.0,"[-37.8128985, 144.9727786]",1,1,0,House,Banksia Property Agency,3000,"{'distance': 726.6, 'duration': 106.9}","{'distance': 687.6, 'duration': 120.3}","{'distance': 757.0, 'duration': 125.3}","{'distance': 1382.3, 'duration': 179.6}"
69,541/57 Spencer Street Melbourne VIC 3000,400.0,"[-37.82004610000001, 144.9542894]",1,1,0,Apartment / Unit / Flat,KEYSTONE REAL ESTATE,3000,"{'distance': 463.4, 'duration': 83.1}","{'distance': 525.7, 'duration': 75.3}","{'distance': 244.3, 'duration': 32.3}","{'distance': 1691.3, 'duration': 198.6}"
70,1302/81 A'beckett Street Melbourne VIC 3000,450.0,"[-37.8092252, 144.9613779]",1,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,"{'distance': 543.0, 'duration': 86.6}","{'distance': 447.5, 'duration': 59.6}","{'distance': 544.8, 'duration': 84.0}","{'distance': 577.3, 'duration': 70.9}"
71,Melbourne VIC 3000,550.0,"[-37.8152065, 144.963937]",2,1,0,Apartment / Unit / Flat,Property Now,3000,"{'distance': 561.0, 'duration': 71.7}","{'distance': 556.0, 'duration': 63.9}","{'distance': 1192.7, 'duration': 170.9}","{'distance': 571.9, 'duration': 65.5}"
72,3208/618 Lonsdale Street Melbourne VIC 3000,630.0,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 687.4, 'duration': 110.8}","{'distance': 517.0, 'duration': 75.6}","{'distance': 622.6, 'duration': 94.3}","{'distance': 1026.0, 'duration': 136.4}"
73,4409/500 Elizbeth Street Melbourne VIC 3000,450.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 423.1, 'duration': 68.7}","{'distance': 327.5, 'duration': 41.7}","{'distance': 716.8, 'duration': 93.1}","{'distance': 749.2, 'duration': 80.0}"
74,2002/81 A'Beckett Street Melbourne VIC 3000,500.0,"[-37.8092252, 144.9613779]",1,1,0,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000,"{'distance': 543.0, 'duration': 86.6}","{'distance': 447.5, 'duration': 59.6}","{'distance': 544.8, 'duration': 84.0}","{'distance': 577.3, 'duration': 70.9}"
75,4813/33 Rose Lane Melbourne VIC 3000,500.0,"[-37.8150137, 144.9538694]",2,1,0,Apartment / Unit / Flat,Melcorp Real Estate,3000,"{'distance': 784.5, 'duration': 104.5}","{'distance': 612.9, 'duration': 70.2}","{'distance': 496.4, 'duration': 60.4}","{'distance': 1010.1, 'duration': 126.8}"
76,504/300 Swanston Street Melbourne VIC 3000,630.0,"[-37.8106088, 144.9645798]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,"{'distance': 14.7, 'duration': 3.5}","{'distance': 561.2, 'duration': 94.6}","{'distance': 663.6, 'duration': 109.5}","{'distance': 959.8, 'duration': 139.0}"
77,1110/371 Little Lonsdale Street Melbourne VIC 3000,685.0,"[-37.8117708, 144.9609302]",2,2,0,Apartment / Unit / Flat,BRADY residential,3000,"{'distance': 592.4, 'duration': 88.2}","{'distance': 264.3, 'duration': 40.9}","{'distance': 621.3, 'duration': 106.7}","{'distance': 405.0, 'duration': 55.4}"
78,5503/560 Lonsdale Street Melbourne VIC 3000,790.0,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 567.1, 'duration': 72.7}","{'distance': 283.7, 'duration': 34.0}","{'distance': 389.3, 'duration': 52.8}","{'distance': 792.7, 'duration': 94.9}"
79,613/585 La Trobe Street Melbourne VIC 3000,450.0,"[-37.8132789, 144.9518393]",2,1,1,Apartment / Unit / Flat,Ray White Southbank & Port Phillip,3000,"{'distance': 705.9, 'duration': 119.2}","{'distance': 831.8, 'duration': 106.9}","{'distance': 583.1, 'duration': 119.1}","{'distance': 1340.8, 'duration': 167.8}"
80,5104/462 Elizabeth Street Melbourne VIC 3000,680.0,"[-37.807859, 144.960611]",2,2,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,"{'distance': 305.1, 'duration': 56.8}","{'distance': 209.6, 'duration': 29.8}","{'distance': 687.6, 'duration': 96.0}","{'distance': 720.1, 'duration': 83.0}"
81,4805/560 Lonsdale Street Melbourne VIC 3000,780.0,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 567.1, 'duration': 72.7}","{'distance': 283.7, 'duration': 34.0}","{'distance': 389.3, 'duration': 52.8}","{'distance': 792.7, 'duration': 94.9}"
82,2813/350 William Street Melbourne VIC 3000,480.0,"[-37.8112344, 144.9564823]",2,2,0,Apartment / Unit / Flat,JMRE Real Estate,3000,"{'distance': 269.8, 'duration': 38.0}","{'distance': 451.9, 'duration': 67.9}","{'distance': 92.0, 'duration': 18.1}","{'distance': 907.8, 'duration': 109.6}"
83,5512/560 Lonsdale Street Melbourne VIC 3000,930.0,"[-37.8140313, 144.9556025]",3,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,"{'distance': 567.1, 'duration': 72.7}","{'distance': 283.7, 'duration': 34.0}","{'distance': 389.3, 'duration': 52.8}","{'distance': 792.7, 'duration': 94.9}"
