,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Nearby_Schools,Primary_Distance,Secondary_Distance
21,2004/288 Spencer Street Melbourne VIC 3000,360.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Hodges South Melbourne,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
22,2201/288 Spencer Street Melbourne VIC 3000,400.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
23,101/25-33 Wills Street Melbourne VIC 3000,400.0,"[-37.8107757, 144.9569269]",1,1,0,Apartment / Unit / Flat,Samma Real Estate,3000,607,"{'distance': 2253.1, 'duration': 318.6}","{'distance': 673.5, 'duration': 104.4}"
24,2905B/11 Rose Lane Melbourne VIC 3000,575.0,"[-37.815446, 144.9541165]",2,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3000,609,"{'distance': 1690.6, 'duration': 247.8}","{'distance': 797.9, 'duration': 128.9}"
25,1901/368 St Kilda Road Melbourne VIC 3000,1800.0,"[-37.8318086, 144.9710272]",3,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,602,"{'distance': 1662.8, 'duration': 171.3}","{'distance': 1662.8, 'duration': 171.3}"
26,1211/200 Spencer Street Melbourne VIC 3000,470.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Hodges South Melbourne,3000,609,"{'distance': 1797.1, 'duration': 244.3}","{'distance': 845.8, 'duration': 113.7}"
27,3/27 Flinders Lane Melbourne VIC 3000,415.0,"[-37.8147317, 144.9733655]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,639,"{'distance': 1635.7, 'duration': 218.8}","{'distance': 577.1, 'duration': 84.0}"
28,102/9 Bligh Place Melbourne VIC 3000,600.0,"[-37.817317, 144.96371]",2,1,1,Apartment / Unit / Flat,Motion Property,3000,622,"{'distance': 2469.1, 'duration': 336.1}","{'distance': 1531.7, 'duration': 219.8}"
29,1715/220 Spencer Street Melbourne VIC 3000,600.0,"[-37.8157157, 144.9529559]",2,2,1,Apartment / Unit / Flat,Ease Real Estate,3000,607,"{'distance': 1610.2, 'duration': 223.4}","{'distance': 717.6, 'duration': 104.6}"
30,104/300 Swanston Street Melbourne VIC 3000,550.0,"[-37.8106088, 144.9645798]",2,1,0,Apartment / Unit / Flat,The Core Advisory Team VIC,3000,616,"{'distance': 1388.7, 'duration': 166.4}","{'distance': 739.6, 'duration': 123.1}"
31,Unit 1713/200 Spencer St Melbourne VIC 3000,440.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Melbourne Residential Real Estate,3000,609,"{'distance': 1797.1, 'duration': 244.3}","{'distance': 845.8, 'duration': 113.7}"
32,1007/238 Flinders St Melbourne VIC 3000,320.0,"[-37.8175167, 144.9664983]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,631,"{'distance': 2632.5, 'duration': 282.6}","{'distance': 1419.2, 'duration': 185.9}"
33,1211/260 Spencer Street Melbourne VIC 3000,700.0,"[-37.814564, 144.9522856]",2,2,0,Apartment / Unit / Flat,GBE Property Investments,3000,604,"{'distance': 1508.8, 'duration': 213.1}","{'distance': 587.6, 'duration': 84.0}"
34,3108/500 Elizabeth St Melbourne VIC 3000,410.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,612,"{'distance': 1511.1, 'duration': 158.2}","{'distance': 923.1, 'duration': 105.6}"
35,217/339 Swanston St Melbourne VIC 3000,380.0,"[-37.8103818, 144.9638079]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,616,"{'distance': 1727.7, 'duration': 195.6}","{'distance': 857.2, 'duration': 122.6}"
36,55/1 Albert Road Melbourne VIC 3000,950.0,"[-37.833957, 144.972793]",2,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,586,"{'distance': 1939.1, 'duration': 197.5}","{'distance': 691.6, 'duration': 121.9}"
37,228 La Trobe St Melbourne VIC 3000,70.0,"[-37.8097514, 144.9626141]",0,1,1,Carspace,AZeta Real Estate,3000,619,"{'distance': 1395.3, 'duration': 157.8}","{'distance': 992.9, 'duration': 142.0}"
38,711/500 Flinders Street Melbourne VIC 3000,250.0,"[-37.8200193, 144.9578273]",1,1,0,Apartment / Unit / Flat,Ray White Oakleigh,3000,608,"{'distance': 2044.9, 'duration': 270.9}","{'distance': 1114.2, 'duration': 182.6}"
39,504/350 La Trobe Street Melbourne VIC 3000,395.0,"[-37.8106785, 144.9592774]",2,1,0,Apartment / Unit / Flat,Caine Real Estate,3000,612,"{'distance': 1970.9, 'duration': 218.9}","{'distance': 602.1, 'duration': 100.9}"
40,5401/464 Collins Street Melbourne VIC 3000,2500.0,"[-37.8175602, 144.9585916]",3,3,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,611,"{'distance': 2257.2, 'duration': 276.1}","{'distance': 994.0, 'duration': 138.2}"
41,1206/118 Russell Street Melbourne VIC 3000,550.0,"[-37.8135864, 144.9687232]",2,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,630,"{'distance': 1652.9, 'duration': 183.0}","{'distance': 438.8, 'duration': 68.5}"
42,1411/120 A Beckett St Melbourne VIC 3000,680.0,"[-37.8093086, 144.9597389]",2,2,0,Apartment / Unit / Flat,Re-define Real Estate,3000,616,"{'distance': 1652.4, 'duration': 175.7}","{'distance': 780.3, 'duration': 108.7}"
43,5003/464-466 Collins Street Melbourne VIC 3000,550.0,"[-37.81755500000001, 144.958633]",1,1,1,Apartment / Unit / Flat,Kay & Burton Hawthorn,3000,611,"{'distance': 2253.6, 'duration': 275.6}","{'distance': 990.4, 'duration': 137.7}"
44,925/555 Flinders Street Melbourne VIC 3000,500.0,"[-37.8209711, 144.9564827]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,610,"{'distance': 1722.1, 'duration': 210.7}","{'distance': 1509.2, 'duration': 221.0}"
45,908/500 Flinders Street Melbourne VIC 3000,200.0,"[-37.8200193, 144.9578273]",1,1,0,Apartment / Unit / Flat,Peter Blair Property Management,3000,608,"{'distance': 2044.9, 'duration': 270.9}","{'distance': 1114.2, 'duration': 182.6}"
46,3604/568 Collins Street Melbourne VIC 3000,550.0,"[-37.8183759, 144.9554361]",2,2,1,Apartment / Unit / Flat,RT Edgar Boroondara,3000,611,"{'distance': 1935.3, 'duration': 237.5}","{'distance': 1177.1, 'duration': 162.5}"
47,2105/31 Spring Street Melbourne VIC 3000,500.0,"[-37.8145047, 144.9740695]",1,1,1,Apartment / Unit / Flat,Belle Property South Melbourne,3000,636,"{'distance': 1731.9, 'duration': 245.3}","{'distance': 643.4, 'duration': 96.0}"
48,508/616 Little Collins Street Street Melbourne VIC 3000,500.0,"[-37.8176151, 144.9543219]",2,1,0,Apartment / Unit / Flat,Belle Property South Melbourne,3000,613,"{'distance': 1936.4, 'duration': 241.4}","{'distance': 871.7, 'duration': 124.9}"
49,3511/157 A'Beckett Street Melbourne VIC 3000,680.0,"[-37.8099156, 144.9591846]",2,2,0,Apartment / Unit / Flat,CAN Estate Agents Pty Ltd,3000,611,"{'distance': 1721.5, 'duration': 185.7}","{'distance': 711.1, 'duration': 98.8}"
50,211B/399 Bourke Street Melbourne VIC 3000,350.0,"[-37.8147259, 144.9621291]",1,1,0,Apartment / Unit / Flat,Create Vic Real Estate,3000,614,"{'distance': 2371.6, 'duration': 245.0}","{'distance': 1107.0, 'duration': 145.2}"
51,1609/398 Elizabeth Street Melbourne VIC 3000,600.0,"[-37.8093316, 144.9613227]",2,1,1,Apartment / Unit / Flat,Harcourts Box Hill TSL,3000,615,"{'distance': 1640.3, 'duration': 179.4}","{'distance': 945.6, 'duration': 138.0}"
52,712/478 Saint Kilda Road Melbourne VIC 3000,400.0,"[-37.8425885, 144.9770385]",1,1,0,Apartment / Unit / Flat,DK Property Partners Melbourne,3000,560,"{'distance': 1209.0, 'duration': 125.4}","{'distance': 975.8, 'duration': 120.1}"
53,208/268 Flinders St Melbourne VIC 3000,295.0,"[-37.8178134, 144.9655688]",1,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,626,"{'distance': 2475.4, 'duration': 318.0}","{'distance': 1327.7, 'duration': 176.7}"
54,251/350 St Kilda Road Melbourne VIC 3000,2800.0,"[-37.831142, 144.9708545]",3,3,3,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,605,"{'distance': 1628.1, 'duration': 173.0}","{'distance': 1628.1, 'duration': 173.0}"
55,2206/288 Spencer Street Melbourne VIC 3000,440.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
56,2707/288 Spencer Street Melbourne VIC 3000,440.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
57,394 Collins Street Melbourne VIC 3000,550.0,"[-37.816819, 144.9611835]",1,1,0,Apartment / Unit / Flat,Gotham Property,3000,615,"{'distance': 2479.7, 'duration': 308.0}","{'distance': 1216.2, 'duration': 156.9}"
58,506/253 Franklin Street Melbourne VIC 3000,330.0,"[-37.8095025, 144.9566681]",1,1,0,Apartment / Unit / Flat,Pagan Real Estate,3000,605,"{'distance': 1985.3, 'duration': 281.0}","{'distance': 647.4, 'duration': 90.2}"
59,4703/464 Collins Street Melbourne VIC 3000,550.0,"[-37.8175602, 144.9585916]",1,1,0,Apartment / Unit / Flat,LJ Hooker City Residential,3000,611,"{'distance': 2257.2, 'duration': 276.1}","{'distance': 994.0, 'duration': 138.2}"
60,2501/27 Therry Street Melbourne VIC 3000,675.0,"[-37.8069882, 144.9610136]",2,2,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,614,"{'distance': 1298.0, 'duration': 134.1}","{'distance': 793.2, 'duration': 106.8}"
61,1902/618 Lonsdale Street Melbourne VIC 3000,620.0,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,608,"{'distance': 1680.9, 'duration': 249.8}","{'distance': 348.7, 'duration': 72.4}"
62,2314/23 Mackenzie Street Melbourne VIC 3000,650.0,"[-37.8075453, 144.9673268]",2,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,626,"{'distance': 786.7, 'duration': 97.8}","{'distance': 679.8, 'duration': 103.3}"
63,2401/380 Little Lonsdale Street Melbourne VIC 3000,650.0,"[-37.8121026, 144.9581291]",2,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,610,"{'distance': 2199.1, 'duration': 237.8}","{'distance': 717.7, 'duration': 109.9}"
64,1605/8 Sutherland Street Melbourne VIC 3000,550.0,"[-37.8113164, 144.9609854]",2,2,0,Apartment / Unit / Flat,BRADY residential,3000,615,"{'distance': 1901.5, 'duration': 210.3}","{'distance': 757.3, 'duration': 122.2}"
65,106/455 Elizabeth Street Melbourne VIC 3000,370.0,"[-37.8084293, 144.9602064]",1,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,615,"{'distance': 1473.2, 'duration': 158.5}","{'distance': 831.1, 'duration': 100.9}"
66,402/5 Sutherland Street Melbourne VIC 3000,400.0,"[-37.811416, 144.9608504]",1,1,0,Apartment / Unit / Flat,BRADY residential,3000,615,"{'distance': 1895.1, 'duration': 208.7}","{'distance': 763.7, 'duration': 123.7}"
67,4509/135 A'beckett Street Melbourne VIC 3000,650.0,"[-37.8097879, 144.9596466]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,613,"{'distance': 1678.6, 'duration': 179.5}","{'distance': 754.1, 'duration': 105.0}"
68,1610/27 Little Collins Street Melbourne VIC 3000,410.0,"[-37.8128985, 144.9727786]",1,1,0,House,Banksia Property Agency,3000,630,"{'distance': 1468.3, 'duration': 202.1}","{'distance': 409.7, 'duration': 67.3}"
69,541/57 Spencer Street Melbourne VIC 3000,400.0,"[-37.82004610000001, 144.9542894]",1,1,0,Apartment / Unit / Flat,KEYSTONE REAL ESTATE,3000,610,"{'distance': 1883.9, 'duration': 238.9}","{'distance': 1122.4, 'duration': 151.5}"
70,1302/81 A'beckett Street Melbourne VIC 3000,450.0,"[-37.8092252, 144.9613779]",1,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,615,"{'distance': 1631.0, 'duration': 176.1}","{'distance': 936.3, 'duration': 134.6}"
71,Melbourne VIC 3000,550.0,"[-37.8152065, 144.963937]",2,1,0,Apartment / Unit / Flat,Property Now,3000,619,"{'distance': 2149.5, 'duration': 228.9}","{'distance': 1126.3, 'duration': 150.0}"
72,3208/618 Lonsdale Street Melbourne VIC 3000,630.0,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,608,"{'distance': 1680.9, 'duration': 249.8}","{'distance': 348.7, 'duration': 72.4}"
73,4409/500 Elizbeth Street Melbourne VIC 3000,450.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,MICM Real Estate,3000,612,"{'distance': 1511.1, 'duration': 158.2}","{'distance': 923.1, 'duration': 105.6}"
74,2002/81 A'Beckett Street Melbourne VIC 3000,500.0,"[-37.8092252, 144.9613779]",1,1,0,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000,615,"{'distance': 1631.0, 'duration': 176.1}","{'distance': 936.3, 'duration': 134.6}"
75,4813/33 Rose Lane Melbourne VIC 3000,500.0,"[-37.8150137, 144.9538694]",2,1,0,Apartment / Unit / Flat,Melcorp Real Estate,3000,606,"{'distance': 1586.7, 'duration': 227.5}","{'distance': 443.8, 'duration': 66.8}"
76,504/300 Swanston Street Melbourne VIC 3000,630.0,"[-37.8106088, 144.9645798]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000,616,"{'distance': 1388.7, 'duration': 166.4}","{'distance': 739.6, 'duration': 123.1}"
77,1110/371 Little Lonsdale Street Melbourne VIC 3000,685.0,"[-37.8117708, 144.9609302]",2,2,0,Apartment / Unit / Flat,BRADY residential,3000,614,"{'distance': 1921.5, 'duration': 213.7}","{'distance': 825.0, 'duration': 137.1}"
78,5503/560 Lonsdale Street Melbourne VIC 3000,790.0,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,611,"{'distance': 1806.1, 'duration': 257.6}","{'distance': 451.9, 'duration': 71.7}"
79,613/585 La Trobe Street Melbourne VIC 3000,450.0,"[-37.8132789, 144.9518393]",2,1,1,Apartment / Unit / Flat,Ray White Southbank & Port Phillip,3000,597,"{'distance': 1256.7, 'duration': 184.6}","{'distance': 367.2, 'duration': 80.8}"
80,5104/462 Elizabeth Street Melbourne VIC 3000,680.0,"[-37.807859, 144.960611]",2,2,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,611,"{'distance': 1393.2, 'duration': 146.3}","{'distance': 894.0, 'duration': 108.5}"
81,4805/560 Lonsdale Street Melbourne VIC 3000,780.0,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,611,"{'distance': 1806.1, 'duration': 257.6}","{'distance': 451.9, 'duration': 71.7}"
82,2813/350 William Street Melbourne VIC 3000,480.0,"[-37.8112344, 144.9564823]",2,2,0,Apartment / Unit / Flat,JMRE Real Estate,3000,605,"{'distance': 1755.2, 'duration': 260.8}","{'distance': 345.3, 'duration': 54.8}"
83,5512/560 Lonsdale Street Melbourne VIC 3000,930.0,"[-37.8140313, 144.9556025]",3,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,611,"{'distance': 1806.1, 'duration': 257.6}","{'distance': 451.9, 'duration': 71.7}"
84,3405/33 Rose Lane Melbourne VIC 3000,600.0,"[-37.8150137, 144.9538694]",2,1,0,Apartment / Unit / Flat,Levic Group Pty Ltd,3000,606,"{'distance': 1586.7, 'duration': 227.5}","{'distance': 443.8, 'duration': 66.8}"
85,3309/120 A'Beckett Street Melbourne VIC 3000,500.0,"[-37.8093086, 144.9597389]",2,2,1,Apartment / Unit / Flat,Wood Property,3000,616,"{'distance': 1652.4, 'duration': 175.7}","{'distance': 780.3, 'duration': 108.7}"
86,404/181 A’Beckett Melbourne VIC 3000,380.0,"[-37.8101564, 144.9581958]",1,1,0,Studio,MICM Real Estate,3000,611,"{'distance': 1841.5, 'duration': 197.2}","{'distance': 620.5, 'duration': 86.5}"
87,1609/228 La Trobe Street Melbourne VIC 3000,720.0,"[-37.8097514, 144.9626141]",2,1,0,Apartment / Unit / Flat,Melplex Real Estate,3000,619,"{'distance': 1395.3, 'duration': 157.8}","{'distance': 992.9, 'duration': 142.0}"
88,1603/618 Lonsdale Street Melbourne VIC 3000,680.0,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,608,"{'distance': 1680.9, 'duration': 249.8}","{'distance': 348.7, 'duration': 72.4}"
89,2502/200 Spencer Street Melbourne VIC 3000,550.0,"[-37.816228, 144.9532465]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000,609,"{'distance': 1797.1, 'duration': 244.3}","{'distance': 845.8, 'duration': 113.7}"
90,6005/462 Elizabeth Street Melbourne VIC 3000,750.0,"[-37.807859, 144.960611]",2,2,0,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000,611,"{'distance': 1393.2, 'duration': 146.3}","{'distance': 894.0, 'duration': 108.5}"
91,2301/33 Rose Lane Melbourne VIC 3000,490.0,"[-37.8150137, 144.9538694]",1,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000,606,"{'distance': 1586.7, 'duration': 227.5}","{'distance': 443.8, 'duration': 66.8}"
92,504/260 Little Collins St Melbourne VIC 3000,400.0,"[-37.8144791, 144.9657934]",1,1,0,Apartment / Unit / Flat,My Agent Real Estate,3000,619,"{'distance': 2330.5, 'duration': 272.3}","{'distance': 1307.2, 'duration': 193.5}"
93,216/300 Swanston Street Melbourne VIC 3000,450.0,"[-37.8106088, 144.9645798]",1,1,0,Apartment / Unit / Flat,Landmark Real Estate,3000,616,"{'distance': 1388.7, 'duration': 166.4}","{'distance': 739.6, 'duration': 123.1}"
94,202/243 Franklin Street Melbourne VIC 3000,350.0,"[-37.809763, 144.9569891]",1,1,0,Apartment / Unit / Flat,Areal Property - Point Cook,3000,608,"{'distance': 2017.5, 'duration': 285.7}","{'distance': 679.6, 'duration': 94.9}"
95,FLAT 212/500 FLINDERS STREET Melbourne VIC 3000,380.0,"[-37.8200193, 144.9578273]",1,1,0,Apartment / Unit / Flat,Property Now,3000,608,"{'distance': 2044.9, 'duration': 270.9}","{'distance': 1114.2, 'duration': 182.6}"
96,1102/22-24 Jane Bell Lane Melbourne VIC 3000,600.0,"[-37.8102205, 144.9662652]",2,1,1,Apartment / Unit / Flat,Longview Real Estate,3000,621,"{'distance': 1234.8, 'duration': 129.5}","{'distance': 585.8, 'duration': 86.2}"
97,1909/560 Lonsdale Street Melbourne VIC 3000,680.0,"[-37.8140313, 144.9556025]",2,2,0,Apartment / Unit / Flat,MICM Real Estate,3000,611,"{'distance': 1806.1, 'duration': 257.6}","{'distance': 451.9, 'duration': 71.7}"
98,76/283 Spring Street Melbourne VIC 3000,600.0,"[-37.8081498, 144.9712082]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,622,"{'distance': 856.5, 'duration': 97.8}","{'distance': 419.5, 'duration': 83.9}"
99,201/19 Exploration Lane Melbourne VIC 3000,385.0,"[-37.8089339, 144.9680888]",1,1,0,Studio,Frasers Property | VIC,3000,628,"{'distance': 922.2, 'duration': 123.7}","{'distance': 430.3, 'duration': 66.1}"
100,1106/270 King Street Melbourne VIC 3000,340.0,"[-37.813751, 144.9550317]",1,1,0,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000,611,"{'distance': 1788.2, 'duration': 264.6}","{'distance': 433.9, 'duration': 78.6}"
101,5209/560 Lonsdale Street Melbourne VIC 3000,790.0,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000,611,"{'distance': 1806.1, 'duration': 257.6}","{'distance': 451.9, 'duration': 71.7}"
102,808/160 Little Lonsdale Street Melbourne VIC 3000,400.0,"[-37.8094775, 144.9671638]",2,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,625,"{'distance': 1205.8, 'duration': 137.1}","{'distance': 752.4, 'duration': 111.0}"
103,3701/141 La Trobe Street Melbourne VIC 3000,500.0,"[-37.8087593, 144.9674745]",1,1,0,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000,627,"{'distance': 986.1, 'duration': 136.7}","{'distance': 494.2, 'duration': 79.2}"
104,102/263 Franklin Street Melbourne VIC 3000,410.0,"[-37.8095502, 144.9566201]",1,1,0,Apartment / Unit / Flat,Areal Property - Point Cook,3000,605,"{'distance': 1982.0, 'duration': 280.5}","{'distance': 644.0, 'duration': 89.8}"
105,241/538 Little Lonsdale Street Melbourne VIC 3000,1500.0,"[-37.8136966, 144.953207]",4,2,2,Apartment / Unit / Flat, Elite Real Estate,3000,604,"{'distance': 1662.6, 'duration': 248.2}","{'distance': 305.0, 'duration': 59.4}"
106,120 Abekcett Street Melbourne VIC 3000,260.0,"[-37.8093086, 144.9597389]",0,1,1,Carspace,Austrump Glen Pty Ltd,3000,616,"{'distance': 1652.4, 'duration': 175.7}","{'distance': 780.3, 'duration': 108.7}"
107,206/118 Franklin Street Melbourne VIC 3000,350.0,"[-37.8082052, 144.9589035]",1,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,611,"{'distance': 1589.1, 'duration': 170.5}","{'distance': 946.9, 'duration': 112.9}"
108,1510/22-24 Jane Bell Lane Melbourne VIC 3000,470.0,"[-37.8102205, 144.9662652]",1,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,621,"{'distance': 1234.8, 'duration': 129.5}","{'distance': 585.8, 'duration': 86.2}"
109,5706/224-252 La Trobe Street Melbourne VIC 3000,550.0,"[-37.8097612, 144.962455]",1,1,0,Apartment / Unit / Flat,Areal Property - Box Hill,3000,616,"{'distance': 1408.7, 'duration': 159.4}","{'distance': 1006.3, 'duration': 143.6}"
