,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode
100,201/19 Exploration Lane Melbourne VIC 3000,385,"[-37.8089339, 144.9680888]",1,1,−,Studio,Frasers Property | VIC,3000.0
101,1106/270 King Street Melbourne VIC 3000,340.00,"[-37.813751, 144.9550317]",1,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000.0
102,5209/560 Lonsdale Street Melbourne VIC 3000,790.00,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
103,808/160 Little Lonsdale Street Melbourne VIC 3000,400,"[-37.8094775, 144.9671638]",2,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
104,3701/141 La Trobe Street Melbourne VIC 3000,500,"[-37.8087593, 144.9674745]",1,1,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000.0
105,102/263 Franklin Street Melbourne VIC 3000,410,"[-37.8095502, 144.9566201]",1,1,−,Apartment / Unit / Flat,Areal Property - Point Cook,3000.0
106,241/538 Little Lonsdale Street Melbourne VIC 3000,"1,500","[-37.8136966, 144.953207]",4,2,2,Apartment / Unit / Flat, Elite Real Estate,3000.0
107,120 Abekcett Street Melbourne VIC 3000,260,"[-37.8093086, 144.9597389]",−,1,1,Carspace,Austrump Glen Pty Ltd,3000.0
108,206/118 Franklin Street Melbourne VIC 3000,350,"[-37.8082052, 144.9589035]",1,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
109,1510/22-24 Jane Bell Lane Melbourne VIC 3000,470,"[-37.8102205, 144.9662652]",1,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
110,5706/224-252 La Trobe Street Melbourne VIC 3000,550,"[-37.8097612, 144.962455]",1,1,−,Apartment / Unit / Flat,Areal Property - Box Hill,3000.0
111,1119/268 Flinders Street Melbourne VIC 3000,300,"[-37.8178134, 144.9655688]",1,1,−,Apartment / Unit / Flat,hockingstuart Yarraville,3000.0
112,1212/199 William Street Melbourne VIC 3000,580,"[-37.8145042, 144.9576035]",2,1,−,Apartment / Unit / Flat,Areal Property - Box Hill,3000.0
113,1011/408 Lonsdale Street Melbourne VIC 3000,350,"[-37.8125979, 144.9604012]",1,1,−,Apartment / Unit / Flat,City Residential Real Estate,3000.0
114,104/58-66 La Trobe Street Melbourne VIC 3000,300,"[-37.8084287, 144.9670537]",1,1,−,Studio,Weare Partners Property Group Pty Ltd,3000.0
115,2603/500 Elizabeth Street Melbourne VIC 3000,900,"[-37.8072443, 144.9602814]",3,2,−,Apartment / Unit / Flat,BRADY residential,3000.0
116,607/25 Therry Street Melbourne VIC 3000,500,"[-37.8069574, 144.9610991]",2,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
117,4103/80 ABeckett Street Melbourne VIC 3000,0,"[-37.8089991, 144.9610792]",2,1,−,Apartment / Unit / Flat,MICM Real Estate,3000.0
118,401/225 Elizabeth Street Melbourne VIC 3000,520.00,"[-37.8132308, 144.9623173]",1,1,−,Apartment / Unit / Flat,MICM Real Estate,3000.0
119,5408/500 Elizabeth Street Melbourne VIC 3000,440,"[-37.8072443, 144.9602814]",1,1,−,Apartment / Unit / Flat,BRADY residential,3000.0
120,3905/318 Russell Street Melbourne VIC 3000,550,"[-37.8091709, 144.966801]",1,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
121,808/33 MacKenzie Street Melbourne VIC 3000,650,"[-37.80772140000001, 144.966885]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
122,304/8 Exploration Lane Melbourne VIC 3000,560,"[-37.8091129, 144.9684545]",2,2,−,Apartment / Unit / Flat,BRADY residential,3000.0
123,1905/568 Collins Street Melbourne VIC 3000,580,"[-37.8183759, 144.9554361]",2,1,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000.0
124,505/589 Elizabeth Street Melbourne VIC 3000,480.00,"[-37.8045817, 144.9581589]",1,1,−,Apartment / Unit / Flat,MICM Real Estate,3000.0
125,121/538 Little Lonsdale Street Melbourne VIC 3000,580.00,"[-37.8136966, 144.953207]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000.0
126,202/28 Little Lonsdale Street Melbourne VIC 3000,500.00,"[-37.8085882, 144.9706044]",2,1,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
127,902/270 King Street Melbourne VIC 3000,560,"[-37.813751, 144.9550317]",2,1,1,Apartment / Unit / Flat,BRADY residential,3000.0
128,5901/370 Queen Street Melbourne VIC 3000,820,"[-37.8101314, 144.9587648]",2,2,−,Apartment / Unit / Flat,Banksia Property Agency,3000.0
129,1604/22-24 Jane Bell Lane Melbourne VIC 3000,650,"[-37.8102205, 144.9662652]",2,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
130,718/112 Abeckett Street Melbourne VIC 3000,450,"[-37.809286, 144.960046]",2,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
131,1804/628 Flinders Street Melbourne VIC 3000,800,"[-37.8209691, 144.9532525]",2,2,−,Apartment / Unit / Flat,Core Realty Pty Ltd,3000.0
132,3103/200 Spencer Street Melbourne VIC 3000,420,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Casa Real Estate,3000.0
133,2112/80 A'Beckett Street Melbourne VIC 3000,550,"[-37.8089991, 144.9610792]",2,1,1,Apartment / Unit / Flat,Lucas Real Estate,3000.0
134,511/668 Bourke Street Melbourne VIC 3000,475.00,"[-37.8166152, 144.9542789]",1,1,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
135,5402/81 Abeckett Street Melbourne VIC 3000,720,"[-37.8092252, 144.9613779]",2,2,1,Apartment / Unit / Flat,Fletchers Projects Rental,3000.0
136,3709/120 Abeckett Street Melbourne VIC 3000,750,"[-37.8093086, 144.9597389]",2,2,1,Apartment / Unit / Flat,Core Realty Pty Ltd,3000.0
137,24/131 La Trobe Street Melbourne VIC 3000,500.00,"[-37.8086568, 144.967786]",2,2,−,Apartment / Unit / Flat,Hodges Caulfield,3000.0
138,2205/135 A’beckett Street Melbourne VIC 3000,500,"[-37.8097879, 144.9596466]",1,1,−,Apartment / Unit / Flat,LJ Hooker City Residential,3000.0
139,3704/618 Lonsdale Street Melbourne VIC 3000,400.00,"[-37.8144741, 144.9541462]",1,1,−,Studio,MICM Real Estate,3000.0
140,3704/318 Russell Street Melbourne VIC 3000,620,"[-37.8091709, 144.966801]",2,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
141,304/23 MacKenzie Street Melbourne VIC 3000,650,"[-37.8076799, 144.9669603]",2,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
142,1410/120 A'beckett Street Melbourne VIC 3000,580,"[-37.8093086, 144.9597389]",2,2,−,Apartment / Unit / Flat,Core Realty Pty Ltd,3000.0
143,3714/480 Elizabeth Street Melbourne VIC 3000,355,"[-37.8075067, 144.9604861]",1,1,−,Apartment / Unit / Flat,UniLodge,3000.0
144,3405/568 Collins Street Melbourne VIC 3000,550.00,"[-37.8183759, 144.9554361]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000.0
145,1012/605 St Kilda Road Melbourne VIC 3000,780,"[-37.85091269999999, 144.9814593]",2,2,1,Apartment / Unit / Flat,Core Realty Pty Ltd,3000.0
146,1604/565 Flinders Street Melbourne VIC 3000,450.00,"[-37.8210586, 144.9559072]",1,1,−,Apartment / Unit / Flat,Barry Plant Docklands,3000.0
147,PO9P/191 Powlett Street East Melbourne VIC 3002,675,"[-37.8101099, 144.9860355]",2,2,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
148,203/33 Cliveden Close East Melbourne VIC 3002,380,"[-37.8171001, 144.9767157]",1,1,1,Apartment / Unit / Flat,Dingle Partners,3002.0
149,9/322 Albert Street East Melbourne VIC 3002,990,"[-37.8098404, 144.9802739]",3,2,1,Apartment / Unit / Flat,Space Estate Agents Melbourne,3002.0
150,12/174 George Street East Melbourne VIC 3002,495,"[-37.8147068, 144.9847196]",1,1,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
151,107K/211 Powlett Street East Melbourne VIC 3002,550,"[-37.8096989, 144.9859936]",1,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3002.0
152,1105/162 Albert Street East Melbourne VIC 3002,420,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,BigginScott Richmond,3002.0
153,4/23 Albert Street East Melbourne VIC 3002,475,"[-37.8097759, 144.977391]",1,1,−,Apartment / Unit / Flat,BigginScott Richmond,3002.0
154,23/2 Wellington Crescent East Melbourne VIC 3002,750,"[-37.81759600000001, 144.977542]",2,2,2,Apartment / Unit / Flat,Caine Real Estate,3002.0
155,7/126 Wellington Parade East Melbourne VIC 3002,1600,"[-37.8162107, 144.9859245]",3,2,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
156,Unit 13P/189 Powlett St East Melbourne VIC 3002,600,"[-37.8104068, 144.9859454]",2,2,1,Apartment / Unit / Flat,Top Lane Property Pty Ltd,3002.0
157,104/150 Clarendon Street East Melbourne VIC 3002,950.00,"[-37.8120899, 144.9835967]",1,1,1,Apartment / Unit / Flat,Dingle Partners,3002.0
158,12 Vale Street East Melbourne VIC 3002,"1,150","[-37.8190688, 144.9893458]",4,2,−,House,BigginScott Richmond,3002.0
159,1306V/296 Victoria Parade East Melbourne VIC 3002,750,"[-37.8091912, 144.9815952]",1,1,−,Apartment / Unit / Flat,Dingle Partners,3002.0
160,27/155 Powlett Street East Melbourne VIC 3002,575,"[-37.8113488, 144.9855803]",2,1,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
161,203/150 Clarendon Street East Melbourne VIC 3002,950,"[-37.8120899, 144.9835967]",1,1,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
162,8/108 George Street East Melbourne VIC 3002,450,"[-37.8152553, 144.9867895]",1,1,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
163,2/8 Wellington Crescent East Melbourne VIC 3002,750,"[-37.8172238, 144.9776702]",2,2,2,Apartment / Unit / Flat,Harcourts Melbourne City,3002.0
164,P08P/191 Powlett Street East Melbourne VIC 3002,625,"[-37.8100943, 144.9860492]",2,1,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
165,Unit 101/170 Albert St East Melbourne VIC 3002,435,"[-37.8096207, 144.985273]",1,1,1,Apartment / Unit / Flat,Top Lane Property Pty Ltd,3002.0
166,204/280 Albert Street East Melbourne VIC 3002,0,"[-37.8097936, 144.9817503]",2,2,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002.0
167,1005/296 Victoria Parade East Melbourne VIC 3002,0,"[-37.8091912, 144.9815952]",1,1,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002.0
168,108/201 Powlett Street East Melbourne VIC 3002,495,"[-37.8096583, 144.9856197]",2,1,1,Apartment / Unit / Flat,Bow Residential,3002.0
169,1/27 Powlett Street East Melbourne VIC 3002,695,"[-37.812459, 144.985593]",3,1,1,Apartment / Unit / Flat,RT Edgar Albert Park,3002.0
170,3/126 Albert Street East Melbourne VIC 3002,450,"[-37.8105917, 144.9870423]",2,1,−,Apartment / Unit / Flat,Dingle Partners,3002.0
171,1/9 Garden Avenue East Melbourne VIC 3002,490,"[-37.8161239, 144.9885721]",2,1,1,Apartment / Unit / Flat,Dingle Partners,3002.0
172,506 Victoria Parade East Melbourne VIC 3002,790,"[-37.809935, 144.988228]",3,2,1,House,Dingle Partners,3002.0
173,21/8 Wellington Crescent East Melbourne VIC 3002,700,"[-37.8172238, 144.9776702]",3,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3002.0
174,125B George Street East Melbourne VIC 3002,660,"[-37.81553, 144.986258]",2,1,1,Townhouse,Caine Real Estate,3002.0
175,1302/1 Powlett Street East Melbourne VIC 3002,"1,800","[-37.8161275, 144.984988]",3,2,2,Apartment / Unit / Flat,RT Edgar Toorak,3002.0
176,17/102 Jolimont Road East Melbourne VIC 3002,750,"[-37.8181952, 144.9789461]",2,2,1,Apartment / Unit / Flat,Caine Real Estate,3002.0
