,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode
3328,8/196 The Avenue Parkville VIC 3052,485,"[-37.7829335, 144.9575056]",2,1,−,Apartment / Unit / Flat,Nelson Alexander Northcote,3052.0
3329,16 Morrah Street Parkville VIC 3052,850,"[-37.795505, 144.957196]",3,1,−,House,Nelson Alexander | Carlton,3052.0
3330,210/77 Galada Avenue Parkville VIC 3052,410.00,"[-37.7793367, 144.9390596]",2,1,1,Apartment / Unit / Flat,Nelson Alexander | Carlton,3052.0
3331,909/91 Galada Street Parkville VIC 3052,440,"[-37.7786173, 144.9393063]",1,1,1,Apartment / Unit / Flat,Ray White Ascot Vale,3052.0
3332,308/459 Royal Parade Parkville VIC 3052,525,"[-37.7821863, 144.9588174]",2,2,1,Apartment / Unit / Flat,Melbourne Real Estate,3052.0
3333,B47/415 Brunswick Road Parkville VIC 3052,275,"[-37.7753709, 144.9486481]",1,1,−,Apartment / Unit / Flat,Pacific Real Estate Brunswick West,3052.0
3334,97 Oak Street Parkville VIC 3052,950,"[-37.781196, 144.9418287]",5,2,2,House,Melbourne Real Estate,3052.0
3335,1205/91 Galada Avenue Parkville VIC 3052,460,"[-37.7786173, 144.9393063]",2,2,1,Apartment / Unit / Flat,Ironfish Real Estate Melbourne,3052.0
3336,1111/91 Galada Avenue Parkville VIC 3052,430.00,"[-37.7786173, 144.9393063]",1,1,1,Apartment / Unit / Flat,The Neighbourhood Property Collective,3052.0
3337,72 Fitzgibbon Street Parkville VIC 3052,"1,495","[-37.7946034, 144.9571934]",4,2,−,House,Century 21 Property Group,3052.0
3338,3/311 Royal Parade Parkville VIC 3052,520,"[-37.7860962, 144.9584518]",2,1,1,Apartment / Unit / Flat,Raine & Horne Glenroy,3052.0
3339,814/91 Galada Avenue Parkville VIC 3052,495,"[-37.7786173, 144.9393063]",2,2,1,Apartment / Unit / Flat,Fusion Property Investment Corporation,3052.0
3340,787 Park Street Parkville VIC 3052,295,"[-37.777016, 144.9543434]",1,1,−,Apartment / Unit / Flat,Park & Weston Pty Ltd,3052.0
3341,552 Drummond Street Carlton VIC 3053,900.00,"[-37.7922105, 144.9702508]",3,2,1,House,Jellis Craig Northcote,3053.0
3342,219/528 Swanston Street Carlton VIC 3053,350,"[-37.8042164, 144.9636059]",1,1,−,Apartment / Unit / Flat,Dingle Partners,3053.0
3343,87 Canning Street Carlton VIC 3053,"1,100","[-37.7971337, 144.9728147]",2,2,1,House,Thomas Moreland Real Estate,3053.0
3344,505/139 Bouverie Street Carlton VIC 3053,260,"[-37.8032277, 144.9616568]",1,1,−,Apartment / Unit / Flat,Hedley Perrett Real Estate,3053.0
3345,G06/81 Cemetery Road Carlton VIC 3053,375.00,"[-37.7934845, 144.9661004]",1,1,−,Apartment / Unit / Flat,Jellis Craig Northcote,3053.0
3346,880 Swanston Street Carlton VIC 3053,"1,200","[-37.795759, 144.965062]",4,1,−,House,WHITEFOX Real Estate,3053.0
3347,557 Swanston Street Carlton VIC 3053,330,"[-37.8051025, 144.9628977]",−,1,−,Studio,Atira Student Living,3053.0
3348,27 Elgin Street Carlton VIC 3053,585.00,"[-37.797998, 144.973709]",2,1,1,House,Jellis Craig Fitzroy,3053.0
3349,421/528 Swanston Street Carlton VIC 3053,350,"[-37.8042164, 144.9636059]",1,1,−,Apartment / Unit / Flat,Dingle Partners,3053.0
3350,915/528 Swanston Street Carlton VIC 3053,350,"[-37.8042164, 144.9636059]",1,1,−,Apartment / Unit / Flat,Dingle Partners,3053.0
3351,3 Chummie Place Carlton VIC 3053,875.00,"[-37.8016602, 144.966273]",4,2,1,House,Jellis Craig Fitzroy,3053.0
3352,8/97 Elgin Street Carlton VIC 3053,540.00,"[-37.7977014, 144.9714074]",2,1,1,Apartment / Unit / Flat,Jellis Craig Northcote,3053.0
3353,909/528 Swanston Street Carlton VIC 3053,345,"[-37.8042164, 144.9636059]",1,1,−,Apartment / Unit / Flat,Dingle Partners,3053.0
3354,22/422 Cardigan Street Carlton VIC 3053,530,"[-37.7942659, 144.9668155]",2,1,1,Apartment / Unit / Flat,Belle Property South Melbourne,3053.0
3355,70 Palmerston Street Carlton VIC 3053,550,"[-37.79632, 144.972585]",2,1,−,House,Belle Property South Melbourne,3053.0
3356,119-121 Palmerston Street Carlton VIC 3053,2600,"[-37.7965569, 144.9711271]",4,3,1,House,Alexkarbon Real Estate Pty Ltd,3053.0
3357,96 Kay Street Carlton VIC 3053,540.00,"[-37.794848, 144.971853]",2,1,1,House,Woodards Northcote,3053.0
3358,1116/6 Leicester Street Carlton VIC 3053,340,"[-37.8059562, 144.9602155]",1,1,−,Apartment / Unit / Flat,Melbourne Realty Group Pty Ltd,3053.0
3359,709/131 Pelham Street Carlton VIC 3053,330,"[-37.8027019, 144.9638613]",1,1,−,Apartment / Unit / Flat,Bow Residential,3053.0
3360,540A Drummond Street Carlton VIC 3053,435.00,"[-37.7926469, 144.9700908]",1,1,1,Apartment / Unit / Flat,Woodards,3053.0
3361,35 Drummond Street Carlton VIC 3053,"1,100","[-37.8060449, 144.9672391]",4,1,4,Apartment / Unit / Flat,Woodards,3053.0
3362,725/488 Swanston Street Carlton VIC 3053,360.00,"[-37.8055641, 144.9633777]",2,1,−,Apartment / Unit / Flat,Woodards,3053.0
3363,40 Dorrit Street Carlton VIC 3053,625.00,"[-37.7996228, 144.9665104]",2,2,−,House,Woodards,3053.0
3364,124 Rathdowne Street Carlton VIC 3053,820.00,"[-37.796727, 144.970899]",4,1,−,House,Woodards,3053.0
3365,409/42-50 Barry Street Carlton VIC 3053,225.00,"[-37.8029857, 144.9600238]",1,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3366,49 Macarthur Place Carlton VIC 3053,580.00,"[-37.7982701, 144.9706465]",2,1,−,House,Woodards,3053.0
3367,106 Keppel Street Carlton VIC 3053,730.00,"[-37.794322, 144.9659591]",2,2,1,House,Woodards,3053.0
3368,106 Palmerston Street Carlton VIC 3053,630.00,"[-37.796214, 144.971611]",3,1,−,House,Woodards,3053.0
3369,10/404 Cardigan Street Carlton VIC 3053,600.00,"[-37.7946872, 144.9668196]",3,2,1,Townhouse,Woodards,3053.0
3370,21/117 Bouverie Street Carlton VIC 3053,260,"[-37.803766, 144.961625]",−,1,−,Studio,Nicholson Real Estate,3053.0
3371,813/9 Earl Street Carlton VIC 3053,290,"[-37.8061615, 144.965462]",1,1,−,Studio,Bow Residential,3053.0
3372,201 Cardigan Carlton VIC 3053,1450,"[-37.8020773, 144.964928]",5,3,−,House,Roylance Realty,3053.0
3373,1/125 Bouverie Street Carlton VIC 3053,299,"[-37.8036076, 144.9616683]",−,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3374,1/125 Bouverie Street Carlton VIC 3053,199,"[-37.8036076, 144.9616683]",−,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3375,52/121 Rathdowne St Carlton VIC 3053,780,"[-37.8042272, 144.9690866]",3,1,1,Apartment / Unit / Flat,Bekdon Richards,3053.0
3376,313/24 Barkly Place Carlton VIC 3053,270,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3377,203/20 Reeves Street Carlton VIC 3053,600,"[-37.7931689, 144.9705197]",2,2,1,Apartment / Unit / Flat,Prop Connect,3053.0
3378,105/24 Barkly Place Carlton VIC 3053,260,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3379,212/24 Barkly Place Carlton VIC 3053,265,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3380,515/24 Barkly Place Carlton VIC 3053,280,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3381,604/127 Leicester Street Carlton VIC 3053,280,"[-37.80288, 144.9602773]",1,1,−,Studio,Student Housing Australia,3053.0
3382,409A/640 Swanston Street Carlton VIC 3053,400,"[-37.80167, 144.9640806]",1,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3053.0
3383,501/24 Barkly Place Carlton VIC 3053,295,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3384,1103/28 Bouverie Street Carlton VIC 3053,600,"[-37.8057895, 144.9618167]",2,2,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3053.0
3385,G5/108 Queensberry Street Carlton VIC 3053,430,"[-37.8046015, 144.9654545]",1,1,1,Apartment / Unit / Flat,Raine & Horne Brunswick,3053.0
3386,307/139-145 Queensberry Street Carlton VIC 3053,550.00,"[-37.8048317, 144.9639135]",2,2,−,Apartment / Unit / Flat,Nelson Alexander Fitzroy,3053.0
3387,517/555 Swanston St Carlton VIC 3053,600,"[-37.8057226, 144.9628069]",2,2,1,Apartment / Unit / Flat,Paragon Real Estate Pty Ltd,3053.0
3388,909/488 Swanston Street Carlton VIC 3053,480,"[-37.8055641, 144.9633777]",2,1,−,Apartment / Unit / Flat, Elite Real Estate,3053.0
3389,118/131 Pelham Street Carlton VIC 3053,310,"[-37.8027019, 144.9638613]",1,1,−,Apartment / Unit / Flat,Bow Residential,3053.0
3390,408/24 Barkly Place Carlton VIC 3053,280,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3391,1513/570 Lygon Street Carlton VIC 3053,430.00,"[-37.7935594, 144.9690564]",2,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3392,508/50 Barry Street Carlton VIC 3053,280,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3393,209/123 Pelham Street Carlton VIC 3053,450,"[-37.8027986, 144.9644247]",2,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3394,189B Elgin Street Carlton VIC 3053,525.00,"[-37.7974489, 144.9682071]",2,2,−,Apartment / Unit / Flat,Nelson Alexander Fitzroy,3053.0
3395,110/50 Barry Street Carlton VIC 3053,270,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3396,112/49-51 Rathdowne St Carlton VIC 3053,270.00,"[-37.8057237, 144.968863]",1,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3397,201/50 Barry Street Carlton VIC 3053,300,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3398,404/24 Barkly Place Carlton VIC 3053,270,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3399,G10/1 Bouverie Street Carlton VIC 3053,480.00,"[-37.80626830000001, 144.9612093]",2,1,−,Apartment / Unit / Flat,Bow Residential,3053.0
3400,305/24 Barkly Place Carlton VIC 3053,270,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3401,316/24 Barkly Place Carlton VIC 3053,270,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3402,408/50 Barry Street Carlton VIC 3053,280,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3403,112/24 Barkly Place Carlton VIC 3053,260,"[-37.8030467, 144.961545]",1,1,−,Studio,Student Housing Australia,3053.0
3404,513/50 Barry Street Carlton VIC 3053,290,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3405,607/50 Barry Street Carlton VIC 3053,280,"[-37.8029645, 144.960022]",1,1,−,Studio,Student Housing Australia,3053.0
3406,803/139 Bouverie Street Carlton VIC 3053,290,"[-37.8032277, 144.9616568]",1,1,−,Studio,Bow Residential,3053.0
3407,102/127 Leicester Street Carlton VIC 3053,265,"[-37.80288, 144.9602773]",1,1,−,Studio,Student Housing Australia,3053.0
3408,G06/525 Rathdowne Street Carlton VIC 3053,400.00,"[-37.7930931, 144.9709328]",1,1,−,Apartment / Unit / Flat,MICM Real Estate,3053.0
3409,3519/478 Swanston Street Carlton VIC 3053,380,"[-37.8055054, 144.9633599]",1,1,−,Apartment / Unit / Flat, Elite Real Estate,3053.0
3410,"Level 8, 805/145 Queensberry Street Carlton VIC 3053",550,"[-37.80491809999999, 144.9639338]",1,1,−,Apartment / Unit / Flat,Zed Real Estate,3053.0
3411,2120/551 Swanston Street Carlton VIC 3053,750,"[-37.8056839, 144.9627442]",3,1,1,Apartment / Unit / Flat, Elite Real Estate,3053.0
3412,235 Elgin Street Carlton VIC 3053,"1,200","[-37.797261, 144.966529]",5,3,1,House,Longview Real Estate,3053.0
3413,264 Cardigan Street Carlton VIC 3053,"1,200","[-37.7988277, 144.9660145]",6,2,−,House,Longview Real Estate,3053.0
3414,28 Bouverie Street Carlton VIC 3053,220,"[-37.8057895, 144.9618167]",1,1,1,House,Paragon Real Estate Pty Ltd,3053.0
3415,107/950 Swanston Street Carlton VIC 3053,580.00,"[-37.7937817, 144.9654428]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3053.0
3416,6317/570 Lygon Street Carlton VIC 3053,300.00,"[-37.7931559, 144.9694316]",1,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3417,58/39 Rathdowne Street Carlton VIC 3053,570.00,"[-37.806054, 144.9677919]",2,1,1,Apartment / Unit / Flat,MICM Real Estate,3053.0
3418,5405/570 Lygon Street Carlton VIC 3053,350,"[-37.7931164, 144.9689953]",1,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3419,403/488 Swanston Street Carlton VIC 3053,400.00,"[-37.8055641, 144.9633777]",2,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3420,13/117-121 Bouverie Street Carlton VIC 3053,270.00,"[-37.8037616, 144.9615789]",−,1,−,Studio,LITTLE Real Estate Victoria,3053.0
3421,802/613 Swanston Street Carlton VIC 3053,375,"[-37.8040243, 144.9630838]",1,1,−,Apartment / Unit / Flat,Areal Property - Point Cook,3053.0
3422,1716/160 Victoria Street Carlton VIC 3053,770,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,LJ Hooker City Residential,3053.0
3423,505/488 Swanston Street Carlton VIC 3053,420.00,"[-37.8055641, 144.9633777]",2,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3424,2004/28 Bouverie Street Carlton VIC 3053,700,"[-37.8057895, 144.9618167]",2,2,1,Apartment / Unit / Flat,Melcorp Real Estate,3053.0
3425,1007/131 Pelham Street Carlton VIC 3053,350,"[-37.8027019, 144.9638613]",1,1,−,Apartment / Unit / Flat,Student Housing Australia,3053.0
3426,250 Drummond Street Carlton VIC 3053,780,"[-37.8001977, 144.968831]",3,1,−,House,Kelly & Shiel Pty Ltd,3053.0
3427,802/570 Swanston Carlton VIC 3053,350,"[-37.8032867, 144.96398]",1,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3428,708/9 Earl Carlton VIC 3053,340,"[-37.8061615, 144.965462]",1,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3429,519/570 Swanston Street Carlton VIC 3053,420,"[-37.8032867, 144.96398]",2,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3430,5/1 Owen Street Carlton VIC 3053,650,"[-37.8007517, 144.9741835]",2,1,1,Apartment / Unit / Flat,Nelson Alexander Northcote,3053.0
3431,318 Cardigan Street Carlton VIC 3053,950.00,"[-37.797374, 144.966264]",6,1,−,House,LITTLE Real Estate Victoria,3053.0
3432,705/127 Leicester Street Carlton VIC 3053,290,"[-37.80288, 144.9602773]",1,1,−,Studio,Student Housing Australia,3053.0
3433,36/75 Drummond Street Carlton VIC 3053,570.00,"[-37.8047911, 144.9673359]",2,1,1,Apartment / Unit / Flat,MICM Real Estate,3053.0
3434,39 Kay Street Carlton VIC 3053,650,"[-37.7954781, 144.973693]",2,1,1,House,Nelson Alexander | Carlton,3053.0
3435,3219/160 victoria street Carlton VIC 3053,650,"[-37.8062149, 144.9618804]",2,1,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3053.0
3436,11/230 Elgin Street Carlton VIC 3053,360.00,"[-37.7968411, 144.9666084]",−,1,−,Studio,Nelson Alexander | Carlton,3053.0
3437,5315/570 Lygon Street Carlton VIC 3053,350,"[-37.7931164, 144.9689953]",1,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3438,20/100 Queensberry Street Carlton VIC 3053,550,"[-37.804528, 144.9657009]",2,1,1,Apartment / Unit / Flat, Elite Real Estate,3053.0
3439,609/668 Swanston Street Carlton VIC 3053,720,"[-37.800922, 144.96415]",2,2,2,Apartment / Unit / Flat,Tamagold Property Solutions,3053.0
3440,13/14-22 Waterloo Street Carlton VIC 3053,520,"[-37.7951615, 144.9672094]",2,1,1,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3441,3609/478 Swanston Street Carlton VIC 3053,300.00,"[-37.8055054, 144.9633599]",−,1,−,Studio,Nelson Alexander | Carlton,3053.0
3442,66 Kay Street Carlton VIC 3053,495.00,"[-37.794944, 144.972736]",1,1,−,House,Nelson Alexander Fitzroy,3053.0
3443,10/127 Grattan Street Carlton VIC 3053,350.00,"[-37.8007184, 144.9647306]",2,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3444,408/528 Swanston Street Carlton VIC 3053,320.00,"[-37.8042164, 144.9636059]",1,1,−,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3445,3/247-249 Cardigan Street Carlton VIC 3053,750.00,"[-37.80094190000001, 144.9651284]",3,2,−,Apartment / Unit / Flat,Nelson Alexander Fitzroy,3053.0
3446,5/13-29 University Street Carlton VIC 3053,530.00,"[-37.7996797, 144.9692907]",2,1,1,Apartment / Unit / Flat,Woodards,3053.0
3447,"Level 1, 3119/488 Swanston Street Carlton VIC 3053",0,"[-37.8055641, 144.9633777]",1,1,−,Apartment / Unit / Flat,First National Avant - Box Hill,3053.0
3448,Car Space/6 Leicester Street Carlton VIC 3053,200,"[-37.802927, 144.9606235]",1,1,1,House,Paragon Real Estate Pty Ltd,3053.0
3449,11/257-261 Nicholson Street Carlton VIC 3053,600,"[-37.7940191, 144.9752691]",2,1,1,Townhouse,Bow Residential,3053.0
3450,13/404 Cardigan Street Carlton VIC 3053,500.00,"[-37.7946872, 144.9668196]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3451,22 Orr Street Carlton VIC 3053,340,"[-37.8061867, 144.9653325]",1,1,−,Apartment / Unit / Flat,UniLodge,3053.0
3452,139 Bouverie Street Carlton VIC 3053,340,"[-37.8032277, 144.9616568]",1,−,−,Apartment / Unit / Flat,UniLodge,3053.0
3453,42 Dorrit Street Carlton VIC 3053,625.00,"[-37.7996228, 144.9665109]",2,2,−,House,Woodards,3053.0
3454,160 Victoria street Carlton VIC 3053,600,"[-37.8062149, 144.9618804]",2,−,−,Apartment / Unit / Flat,Yousales,3053.0
3455,504/73-81 Cardigan Street Carlton VIC 3053,390.00,"[-37.8051106, 144.9644056]",1,1,−,Apartment / Unit / Flat,Barry Plant Docklands,3053.0
3456,275 Rathdowne Street Carlton VIC 3053,1000,"[-37.800255, 144.969766]",5,2,−,House,Kelly & Shiel Pty Ltd,3053.0
3457,409 Lygon Street Carlton VIC 3053,810,"[-37.7949483, 144.9676693]",4,2,−,Terrace,Melplex Real Estate,3053.0
3458,25/26 Little Cardigan Street Carlton VIC 3053,"1,200","[-37.8040783, 144.9654614]",3,2,3,Apartment / Unit / Flat,Barry Plant Docklands,3053.0
3459,3/247-249 Cardigan Street Carlton VIC 3053,750.00,"[-37.80094190000001, 144.9651284]",3,2,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3460,520/488 Swanston Street Carlton VIC 3053,380,"[-37.8055641, 144.9633777]",1,1,−,Apartment / Unit / Flat, Elite Real Estate,3053.0
3461,127 Drummond Street Carlton VIC 3053,980,"[-37.80358, 144.967673]",3,1,1,House,Nelson Alexander | Carlton,3053.0
3462,8/53 Dorrit Street Carlton VIC 3053,350,"[-37.7992936, 144.9660802]",2,1,−,Apartment / Unit / Flat,Nelson Alexander | Carlton,3053.0
3463,4605/160 Victoria Street Carlton VIC 3053,800,"[-37.8060742, 144.9618361]",2,1,−,Apartment / Unit / Flat,Property Now,3053.0
3464,104/20 Reeves St Carlton VIC 3053,400.00,"[-37.7930959, 144.9705197]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3053.0
3465,21/422 Cardigan Street Carlton VIC 3053,630,"[-37.7942659, 144.9668155]",3,1,−,Apartment / Unit / Flat,Kelly & Shiel Pty Ltd,3053.0
3466,9 Earl Street Carlton VIC 3053,220,"[-37.8061615, 144.965462]",1,1,−,Studio,Student Housing Australia,3053.0
3467,508/28-44 Bouverie Street Carlton VIC 3053,750.00,"[-37.8058125, 144.961855]",2,2,−,Apartment / Unit / Flat,Seascape RE,3053.0
3468,255 Cardigan Street Carlton VIC 3053,180.00,"[-37.8007316, 144.9651636]",1,1,−,Apartment / Unit / Flat,Student Housing Australia,3053.0
3469,24 Barkly Place Carlton VIC 3053,165,"[-37.8029857, 144.9614047]",1,1,−,Studio,Student Housing Australia,3053.0
3470,131 Pelham Street Carlton VIC 3053,250,"[-37.8027009, 144.9638527]",1,1,−,Apartment / Unit / Flat,Student Housing Australia,3053.0
3471,50 Barry Street Carlton VIC 3053,195,"[-37.8029857, 144.9600238]",1,1,−,Studio,Student Housing Australia,3053.0
3472,127 Leicester Street Carlton VIC 3053,195,"[-37.80288, 144.9602773]",1,1,−,Studio,Student Housing Australia,3053.0
3473,1905/555 swanston st Carlton VIC 3053,530,"[-37.8057226, 144.9628069]",1,1,1,Apartment / Unit / Flat,Auswell Property Solution Pty Ltd,3053.0
3474,319/570 Swanston Street Carlton VIC 3053,480,"[-37.8032867, 144.96398]",2,1,−,Apartment / Unit / Flat,APG ESTATE,3053.0
3475,"Level 56, 5610/160 Victoria Street Carlton VIC 3053",880,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,Ridgemiles Real Estate,3053.0
3476,4103/160 Victoria Street Carlton VIC 3053,700,"[-37.8062149, 144.9618804]",2,1,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3477,612/528 Swanston Street Carlton VIC 3053,340,"[-37.8041359, 144.9635318]",1,1,−,Apartment / Unit / Flat,Waterfront Real Estate,3053.0
3478,5111/160 Victoria Street Carlton VIC 3053,800,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,Melbourne Real Estate,3053.0
3479,4912/160 Victoria Street Carlton VIC 3053,800,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3480,618/555 Swanston Street Carlton VIC 3053,500,"[-37.8057226, 144.9628069]",2,1,−,Apartment / Unit / Flat,Aushome Group Pty Ltd,3053.0
3481,1703/551 Swanston Street Carlton VIC 3053,450,"[-37.8056839, 144.9627442]",1,1,−,Apartment / Unit / Flat,Selling Melbourne Real Estate ,3053.0
3482,1115/6 Leicester St Carlton VIC 3053,350,"[-37.8059562, 144.9602155]",1,1,−,Apartment / Unit / Flat,Auswell Property Solution Pty Ltd,3053.0
3483,3118/488 Swanston Street Carlton VIC 3053,330,"[-37.8055641, 144.9633777]",1,1,−,Apartment / Unit / Flat,LANDNEST REAL ESTATE,3053.0
3484,507/495 Rathdowne Street Carlton VIC 3053,430,"[-37.7941063, 144.9707208]",1,1,1,Apartment / Unit / Flat,Southern Bright Realty,3053.0
3485,Carlton VIC 3053,1000,"[-37.798389, 144.9694441]",3,1,−,House,Craig Patterson Real Estate Pty. Ltd,3053.0
3486,209/495 Rathdowne Street Carlton VIC 3053,520,"[-37.7941063, 144.9707208]",2,1,1,Apartment / Unit / Flat,Xynergy Realty Oakleigh,3053.0
3487,unit 503/466 Swanston Street Carlton VIC 3053,320,"[-37.8059838, 144.9632701]",−,1,−,Apartment / Unit / Flat,DPG Property Group,3053.0
3488,510/551 Swanston Street Carlton VIC 3053,550,"[-37.8056839, 144.9627442]",2,2,−,Apartment / Unit / Flat,1ST Choice Property International ,3053.0
3489,307/106-112 Queensberry Street Carlton VIC 3053,400,"[-37.8046015, 144.9654545]",1,1,1,Apartment / Unit / Flat,Hayden Melbourne,3053.0
3490,1106/551 Swanston Street Carlton VIC 3053,410,"[-37.8056839, 144.9627442]",1,1,−,Apartment / Unit / Flat,Ironfish Real Estate Melbourne,3053.0
3491,6/117-121 Bouverie Street Carlton VIC 3053,260,"[-37.8037616, 144.9615789]",1,1,−,Apartment / Unit / Flat,Xynergy Realty South Yarra,3053.0
3492,408/81 Cemetery Road East Carlton VIC 3053,490,"[-37.7934845, 144.9661004]",2,2,1,Apartment / Unit / Flat,Alvi Real Estate,3053.0
3493,4/108 Keppel Street Carlton VIC 3053,550,"[-37.7944792, 144.9655899]",2,1,−,Apartment / Unit / Flat,JRW Property International,3053.0
3494,3/36 Drummond Street Carlton VIC 3053,525,"[-37.79791489999999, 144.9692129]",2,1,1,Apartment / Unit / Flat,Craig Patterson Real Estate Pty. Ltd,3053.0
3495,4016/160 Victoria Street Carlton VIC 3053,850,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3496,Drummond street Carlton VIC 3053,"1,200","[-37.7988884, 144.9688269]",6,2,2,House,Avenue 2 Realty Pty. Ltd,3053.0
3497,32 Trades Hall Place Carlton VIC 3053,780,"[-37.8061708, 144.966904]",3,2,1,House,Avenue 2 Realty Pty. Ltd,3053.0
3498,711/131 Pelham Street Carlton VIC 3053,0,"[-37.8027019, 144.9638613]",1,1,−,Apartment / Unit / Flat,Cedar Elm Property,3053.0
3499,404/77 Cardigan Street Carlton VIC 3053,600,"[-37.8051106, 144.9644056]",2,1,1,Apartment / Unit / Flat,Selling Melbourne Real Estate ,3053.0
3500,5109/160 Victoria Street Carlton VIC 3053,850,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3501,613/613 Swanston Street Carlton VIC 3053,400,"[-37.8040243, 144.9630838]",1,1,−,Apartment / Unit / Flat,Xynergy Realty South Yarra,3053.0
3502,558 Swanston St Carlton VIC 3053,527,"[-37.8035215, 144.9637109]",Studio,Atira Student Living,3053,,,
3503,2008/160 Victoria Street Carlton VIC 3053,800,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3504,1414/160 Victoria Street Carlton VIC 3053,770,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3505,1816/160 Victoria Street Carlton VIC 3053,800,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3506,1612/160 Victoria Street Carlton VIC 3053,800,"[-37.8062149, 144.9618804]",2,2,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3507,3209/160 Victoria Street Carlton VIC 3053,770,"[-37.8061768, 144.9617429]",2,1,−,Apartment / Unit / Flat,PROTIQUE REALTY,3053.0
3508,"4/19 McIlwriath St, Carlton VIC 3053",400,"[-37.7847181, 144.967826]",2,1,1,Apartment / Unit / Flat,Raine & Horne Glenroy,3053.0
3509,488 Swanston Street Carlton VIC 3053,450,"[-37.8057568, 144.9632356]",2,1,−,Apartment / Unit / Flat,No Agent Property ,3053.0
3510,18 Drummond Street Carlton VIC 3053,1000,"[-37.8065906, 144.9677446]",Apartment / Unit / Flat,GOLD 4LIFE,3053,,,
3511,465/488 Swanston Street Carlton VIC 3053,440,"[-37.8057568, 144.9632356]",2,1,−,Apartment / Unit / Flat,First National Real Estate Wantirna,3053.0
3512,9/600 Station Street Carlton North VIC 3054,420,"[-37.7823873, 144.9767803]",1,1,−,Apartment / Unit / Flat,Hedley Perrett Real Estate,3054.0
3513,345 Station Street Carlton North VIC 3054,650.00,"[-37.7886748, 144.9751882]",2,1,−,House,Jellis Craig - Brunswick,3054.0
